,PS_COMEDOR-ID1-anho,PS_COMEDOR-HHID-identificacion_cuestionario_del_hogar,PS_COMEDOR-HVIDX-numero_de_orden_en_el_hogar,PS_COMEDOR-QHCLUSTER-conglomerado,PS_COMEDOR-QHNUMBER-vivienda_seleccionada,PS_COMEDOR-QHHOME-hogar_seleccionado,PS_COMEDOR-PS104_1A-hace_cuanto_tiempo_es_beneficiario:_anhos,PS_COMEDOR-PS104_1M-hace_cuanto_tiempo_es_beneficiario:_meses,PS_COMEDOR-PS104_1S-alguien_mas_es_beneficiario,PS_COMEDOR-PS5-numero_de_orden,PS_COMEDOR-PS104_1A-hace_cuanto_tiempo_es_beneficiario:_anhos_LABEL,PS_COMEDOR-PS104_1M-hace_cuanto_tiempo_es_beneficiario:_meses_LABEL,PS_COMEDOR-PS104_1S-alguien_mas_es_beneficiario_LABEL
64,2019,14501101,2,145,11,1,0,6,2,1,0,6,No
65,2019,14505201,1,145,52,1,1,0,2,1,1,0,No
66,2019,14507101,2,145,71,1,2,0,2,1,2,0,No
67,2019,14509201,2,145,92,1,1,0,2,1,1,0,No
68,2019,14509601,2,145,96,1,1,0,2,1,1,0,No
69,2019,14509701,2,145,97,1,1,0,2,1,1,0,No
70,2019,14510701,2,145,107,1,1,0,2,1,1,0,No
71,2019,14700501,2,147,5,1,1,0,2,1,1,0,No
72,2019,14702601,2,147,26,1,1,0,2,1,1,0,No
73,2019,14702901,3,147,29,1,0,1,2,1,0,1,No
74,2019,14704401,2,147,44,1,4,0,2,1,4,0,No
75,2019,14704501,2,147,45,1,2,0,2,1,2,0,No
76,2019,14705501,1,147,55,1,0,3,2,1,0,3,No
77,2019,14705701,2,147,57,1,10,0,2,1,10,0,No
78,2019,14902901,2,149,29,1,15,0,2,1,15,0,No
79,2019,14903001,2,149,30,1,2,6,2,1,2,6,No
80,2019,14903801,2,149,38,1,15,98,2,1,15,No sabe,No
81,2019,14904001,2,149,40,1,2,0,2,1,2,0,No
82,2019,14904701,2,149,47,1,6,0,1,1,6,0,Si
83,2019,14904701,4,149,47,1,5,0,2,2,5,0,No
84,2019,15002601,1,150,26,1,5,0,2,1,5,0,No
85,2019,15003101,2,150,31,1,8,5,2,1,8,5,No
86,2019,15004501,2,150,45,1,7,2,2,1,7,2,No
87,2019,15004601,2,150,46,1,1,0,2,1,1,0,No
88,2019,15004701,2,150,47,1,8,0,2,1,8,0,No
89,2019,15102001,2,151,20,1,19,0,2,1,19,0,No
90,2019,15104401,1,151,44,1,0,3,2,1,0,3,No
91,2019,15104701,2,151,47,1,8,0,2,1,8,0,No
92,2019,15108601,2,151,86,1,5,0,2,1,5,0,No
93,2019,15109001,1,151,90,1,3,0,2,1,3,0,No
94,2019,15204101,2,152,41,1,1,0,2,1,1,0,No
95,2019,15204901,2,152,49,1,4,0,2,1,4,0,No
96,2019,15300901,2,153,9,1,10,0,2,1,10,0,No
97,2019,15304301,1,153,43,1,2,6,2,1,2,6,No
98,2019,15307901,2,153,79,1,3,0,2,1,3,0,No
99,2019,15403501,2,154,35,1,0,4,2,1,0,4,No
100,2019,15403701,2,154,37,1,8,0,2,1,8,0,No
101,2019,15903201,2,159,32,1,15,0,2,1,15,0,No
102,2019,16600501,2,166,5,1,16,0,2,1,16,0,No
103,2019,16601601,2,166,16,1,1,0,1,1,1,0,Si
104,2019,16601601,6,166,16,1,1,0,2,2,1,0,No
105,2019,16601801,2,166,18,1,10,0,2,1,10,0,No
106,2019,16604601,1,166,46,1,14,0,2,1,14,0,No
107,2019,16605201,2,166,52,1,1,0,2,1,1,0,No
108,2019,18408001,1,184,80,1,10,0,1,1,10,0,Si
109,2019,18408001,4,184,80,1,3,0,2,2,3,0,No
110,2019,21506801,2,215,68,1,2,2,2,1,2,2,No
111,2019,25801601,2,258,16,1,1,0,2,1,1,0,No
112,2019,26301001,1,263,10,1,2,0,2,1,2,0,No
113,2019,26301401,1,263,14,1,19,0,2,1,19,0,No
114,2019,26302601,2,263,26,1,8,0,2,1,8,0,No
115,2019,26610301,2,266,103,1,2,0,2,1,2,0,No
116,2019,26805901,2,268,59,1,0,3,2,1,0,3,No
117,2019,26808201,2,268,82,1,19,0,2,1,19,0,No
118,2019,27107201,2,271,72,1,15,0,2,1,15,0,No
119,2019,27107301,1,271,73,1,5,0,2,1,5,0,No
120,2019,27209101,2,272,91,1,2,0,2,1,2,0,No
121,2019,27303001,2,273,30,1,98,98,2,1,No sabe,No sabe,No
122,2019,27303101,2,273,31,1,2,0,2,1,2,0,No
123,2019,27306401,2,273,64,1,15,0,2,1,15,0,No
124,2019,27306501,1,273,65,1,3,0,2,1,3,0,No
125,2019,27307101,2,273,71,1,5,0,2,1,5,0,No
126,2019,27307201,1,273,72,1,0,5,2,1,0,5,No
127,2019,28301801,1,283,18,1,4,0,2,1,4,0,No
128,2019,28405601,1,284,56,1,2,0,1,1,2,0,Si
129,2019,28405601,2,284,56,1,1,0,2,2,1,0,No
130,2019,28411301,2,284,113,1,0,2,2,1,0,2,No
131,2019,29002201,2,290,22,1,3,0,2,1,3,0,No
132,2019,29002601,2,290,26,1,0,5,2,1,0,5,No
133,2019,29103501,2,291,35,1,7,0,2,1,7,0,No
134,2019,29103701,2,291,37,1,1,0,2,1,1,0,No
135,2019,29403301,2,294,33,1,3,0,2,1,3,0,No
136,2019,29403501,3,294,35,1,2,0,2,1,2,0,No
137,2019,29404601,2,294,46,1,2,0,2,1,2,0,No
138,2019,29404801,2,294,48,1,15,0,2,1,15,0,No
139,2019,29500801,2,295,8,1,0,5,2,1,0,5,No
140,2019,29501001,1,295,10,1,8,0,2,1,8,0,No
141,2019,29501401,2,295,14,1,10,0,2,1,10,0,No
142,2019,29501501,2,295,15,1,6,0,2,1,6,0,No
143,2019,29501701,2,295,17,1,2,0,2,1,2,0,No
144,2019,29503101,2,295,31,1,3,0,2,1,3,0,No
145,2019,30812501,1,308,125,1,3,0,1,1,3,0,Si
146,2019,30812501,2,308,125,1,3,0,1,2,3,0,Si
147,2019,30812501,5,308,125,1,1,6,1,3,1,6,Si
148,2019,30812501,6,308,125,1,0,6,2,4,0,6,No
149,2019,31102001,2,311,20,1,3,98,2,1,3,No sabe,No
150,2019,31803401,3,318,34,1,2,98,2,1,2,No sabe,No
151,2019,32000201,2,320,2,1,1,0,2,1,1,0,No
152,2019,32605801,2,326,58,1,8,0,2,1,8,0,No
153,2019,32606101,2,326,61,1,8,0,2,1,8,0,No
154,2019,32606401,2,326,64,1,3,0,2,1,3,0,No
155,2019,32606601,1,326,66,1,10,98,2,1,10,No sabe,No
156,2019,32803401,2,328,34,1,0,2,2,1,0,2,No
157,2019,32803501,2,328,35,1,5,0,2,1,5,0,No
158,2019,32803801,1,328,38,1,0,2,2,1,0,2,No
159,2019,32803901,2,328,39,1,1,0,2,1,1,0,No
160,2019,32804001,2,328,40,1,5,98,2,1,5,No sabe,No
161,2019,32807701,2,328,77,1,10,98,2,1,10,No sabe,No
162,2019,32807901,2,328,79,1,3,0,2,1,3,0,No
163,2019,33101101,2,331,11,1,4,0,2,1,4,0,No
164,2019,33101201,2,331,12,1,8,1,2,1,8,1,No
165,2019,33101401,2,331,14,1,10,0,2,1,10,0,No
166,2019,33101501,2,331,15,1,3,0,2,1,3,0,No
167,2019,33105701,2,331,57,1,1,4,2,1,1,4,No
168,2019,33106001,4,331,60,1,6,6,2,1,6,6,No
169,2019,33106601,2,331,66,1,3,0,2,1,3,0,No
170,2019,33106701,2,331,67,1,3,0,2,1,3,0,No
171,2019,33106801,3,331,68,1,3,0,2,1,3,0,No
172,2019,33106901,2,331,69,1,2,0,2,1,2,0,No
173,2019,33107101,3,331,71,1,2,0,2,1,2,0,No
174,2019,33606501,2,336,65,1,0,1,2,1,0,1,No
175,2019,33606601,2,336,66,1,0,1,2,1,0,1,No
176,2019,33606701,2,336,67,1,7,4,2,1,7,4,No
177,2019,33608901,2,336,89,1,3,0,2,1,3,0,No
178,2019,34707501,2,347,75,1,98,98,2,1,No sabe,No sabe,No
179,2019,35311401,1,353,114,1,3,4,1,1,3,4,Si
180,2019,35311401,2,353,114,1,3,4,1,2,3,4,Si
181,2019,35311401,3,353,114,1,3,4,1,3,3,4,Si
182,2019,35311401,4,353,114,1,3,4,1,4,3,4,Si
183,2019,35311401,5,353,114,1,1,4,1,5,1,4,Si
184,2019,35311401,6,353,114,1,3,4,2,6,3,4,No
185,2019,35709901,4,357,99,1,3,0,1,1,3,0,Si
186,2019,35709901,5,357,99,1,3,0,1,2,3,0,Si
187,2019,35709901,6,357,99,1,3,0,1,3,3,0,Si
188,2019,35709901,7,357,99,1,1,0,2,4,1,0,No
189,2019,37204201,1,372,42,1,0,1,1,1,0,1,Si
190,2019,37204201,4,372,42,1,0,2,1,2,0,2,Si
191,2019,37204201,5,372,42,1,0,2,1,3,0,2,Si
192,2019,37204201,6,372,42,1,0,1,1,4,0,1,Si
193,2019,37204201,7,372,42,1,0,1,1,5,0,1,Si
194,2019,37204201,8,372,42,1,0,1,1,6,0,1,Si
195,2019,37204201,10,372,42,1,0,1,1,7,0,1,Si
196,2019,37204201,11,372,42,1,0,1,2,8,0,1,No
197,2019,44306201,2,443,62,1,10,0,2,1,10,0,No
198,2019,44403801,4,444,38,1,0,1,2,1,0,1,No
199,2019,44504801,1,445,48,1,15,0,2,1,15,0,No
200,2019,44504901,2,445,49,1,6,0,2,1,6,0,No
201,2019,44505001,2,445,50,1,4,0,2,1,4,0,No
202,2019,44505101,2,445,51,1,14,0,2,1,14,0,No
203,2019,44505201,2,445,52,1,98,0,2,1,No sabe,0,No
204,2019,44801301,2,448,13,1,0,3,2,1,0,3,No
205,2019,45302701,2,453,27,1,10,1,2,1,10,1,No
206,2019,45302901,2,453,29,1,0,6,1,1,0,6,Si
207,2019,45302901,4,453,29,1,3,1,2,2,3,1,No
208,2019,45303801,2,453,38,1,19,1,2,1,19,1,No
209,2019,45304601,1,453,46,1,8,0,2,1,8,0,No
210,2019,45702701,2,457,27,1,10,0,2,1,10,0,No
211,2019,47904401,1,479,44,1,19,11,2,1,19,11,No
212,2019,48011701,1,480,117,1,1,3,2,1,1,3,No
213,2019,48103501,1,481,35,1,18,0,2,1,18,0,No
214,2019,48802101,2,488,21,1,1,5,2,1,1,5,No
215,2019,48807401,2,488,74,1,0,1,2,1,0,1,No
216,2019,48808201,2,488,82,1,1,4,2,1,1,4,No
217,2019,48808601,6,488,86,1,0,1,2,1,0,1,No
218,2019,49502301,2,495,23,1,4,0,2,1,4,0,No
219,2019,49700101,2,497,1,1,6,0,2,1,6,0,No
220,2019,49700501,2,497,5,1,3,0,2,1,3,0,No
221,2019,49702201,2,497,22,1,4,0,2,1,4,0,No
222,2019,49702801,2,497,28,1,12,4,1,1,12,4,Si
223,2019,49702801,4,497,28,1,8,4,2,2,8,4,No
224,2019,49703801,2,497,38,1,12,4,2,1,12,4,No
225,2019,49704001,1,497,40,1,3,4,2,1,3,4,No
226,2019,49803201,1,498,32,1,15,0,2,1,15,0,No
227,2019,49901601,2,499,16,1,4,0,2,1,4,0,No
228,2019,49902201,1,499,22,1,10,0,1,1,10,0,Si
229,2019,49902201,2,499,22,1,10,0,1,2,10,0,Si
230,2019,49902201,3,499,22,1,10,0,2,3,10,0,No
231,2019,49902301,3,499,23,1,5,0,2,1,5,0,No
232,2019,49902401,1,499,24,1,11,0,1,1,11,0,Si
233,2019,49902401,2,499,24,1,11,0,2,2,11,0,No
234,2019,50006501,2,500,65,1,19,0,2,1,19,0,No
235,2019,50102601,1,501,26,1,2,0,2,1,2,0,No
236,2019,50102701,2,501,27,1,5,4,2,1,5,4,No
237,2019,50104101,1,501,41,1,1,4,2,1,1,4,No
238,2019,50104201,2,501,42,1,10,0,2,1,10,0,No
239,2019,50104401,2,501,44,1,4,4,2,1,4,4,No
240,2019,50108001,2,501,80,1,10,0,2,1,10,0,No
241,2019,50108301,2,501,83,1,18,0,2,1,18,0,No
242,2019,50202501,1,502,25,1,3,0,2,1,3,0,No
243,2019,50202601,1,502,26,1,15,5,2,1,15,5,No
244,2019,50202701,2,502,27,1,8,0,2,1,8,0,No
245,2019,50202801,1,502,28,1,15,5,2,1,15,5,No
246,2019,50202901,2,502,29,1,10,0,2,1,10,0,No
247,2019,50203001,1,502,30,1,10,5,2,1,10,5,No
248,2019,50203101,2,502,31,1,15,0,2,1,15,0,No
249,2019,50203201,1,502,32,1,19,5,2,1,19,5,No
250,2019,50203301,1,502,33,1,3,0,2,1,3,0,No
251,2019,50203401,2,502,34,1,19,5,2,1,19,5,No
252,2019,50203501,1,502,35,1,1,0,2,1,1,0,No
253,2019,50203601,2,502,36,1,19,0,2,1,19,0,No
254,2019,50203801,1,502,38,1,15,5,2,1,15,5,No
255,2019,50203901,2,502,39,1,5,0,2,1,5,0,No
256,2019,50300201,1,503,2,1,2,8,2,1,2,8,No
257,2019,50306201,2,503,62,1,10,0,2,1,10,0,No
258,2019,50602501,2,506,25,1,0,6,2,1,0,6,No
259,2019,50602701,1,506,27,1,6,5,2,1,6,5,No
260,2019,50602801,1,506,28,1,6,0,2,1,6,0,No
261,2019,50602901,2,506,29,1,3,5,2,1,3,5,No
262,2019,50603001,1,506,30,1,10,0,2,1,10,0,No
263,2019,50603801,1,506,38,1,10,5,1,1,10,5,Si
264,2019,50603801,2,506,38,1,10,5,2,2,10,5,No
265,2019,50604201,1,506,42,1,6,5,1,1,6,5,Si
266,2019,50604201,2,506,42,1,6,5,2,2,6,5,No
267,2019,50605001,2,506,50,1,2,6,2,1,2,6,No
268,2019,50701001,2,507,10,1,13,0,2,1,13,0,No
269,2019,50704301,2,507,43,1,10,3,2,1,10,3,No
270,2019,50706901,2,507,69,1,2,0,2,1,2,0,No
271,2019,51001201,1,510,12,1,2,2,1,1,2,2,Si
272,2019,51001201,2,510,12,1,2,2,1,2,2,2,Si
273,2019,51001201,3,510,12,1,2,2,1,3,2,2,Si
274,2019,51001201,4,510,12,1,2,2,1,4,2,2,Si
275,2019,51001201,5,510,12,1,2,2,1,5,2,2,Si
276,2019,51001201,6,510,12,1,2,2,2,6,2,2,No
277,2019,51001501,2,510,15,1,1,1,2,1,1,1,No
278,2019,51003501,2,510,35,1,0,8,2,1,0,8,No
279,2019,51006901,1,510,69,1,2,0,2,1,2,0,No
280,2019,51007101,2,510,71,1,2,0,2,1,2,0,No
281,2019,51007201,2,510,72,1,3,0,2,1,3,0,No
282,2019,51100801,2,511,8,1,4,0,2,1,4,0,No
283,2019,51101301,1,511,13,1,4,98,2,1,4,No sabe,No
284,2019,51203201,2,512,32,1,0,3,2,1,0,3,No
285,2019,51301001,2,513,10,1,3,1,2,1,3,1,No
286,2019,51305601,1,513,56,1,4,0,2,1,4,0,No
287,2019,51307001,1,513,70,1,3,0,2,1,3,0,No
288,2019,51309101,2,513,91,1,14,11,2,1,14,11,No
289,2019,51409501,5,514,95,1,0,1,2,1,0,1,No
290,2019,51802601,1,518,26,1,2,4,1,1,2,4,Si
291,2019,51802601,2,518,26,1,6,4,2,2,6,4,No
292,2019,51804501,2,518,45,1,6,0,2,1,6,0,No
293,2019,51807401,1,518,74,1,7,4,1,1,7,4,Si
294,2019,51807401,2,518,74,1,7,4,1,2,7,4,Si
295,2019,51807401,3,518,74,1,2,4,2,3,2,4,No
296,2019,51807501,2,518,75,1,15,4,2,1,15,4,No
297,2019,51901101,2,519,11,1,19,0,2,1,19,0,No
298,2019,51901201,1,519,12,1,19,11,2,1,19,11,No
299,2019,51901301,1,519,13,1,19,0,2,1,19,0,No
300,2019,51901401,2,519,14,1,13,0,2,1,13,0,No
301,2019,51908301,2,519,83,1,1,11,2,1,1,11,No
302,2019,51908701,2,519,87,1,4,0,2,1,4,0,No
303,2019,52102301,1,521,23,1,1,3,2,1,1,3,No
304,2019,52611801,1,526,118,1,2,0,1,1,2,0,Si
305,2019,52611801,2,526,118,1,2,0,2,2,2,0,No
306,2019,55309101,2,553,91,1,3,0,2,1,3,0,No
307,2019,55504901,1,555,49,1,3,0,2,1,3,0,No
308,2019,55505901,2,555,59,1,1,0,2,1,1,0,No
309,2019,59405601,1,594,56,1,0,9,1,1,0,9,Si
310,2019,59405601,2,594,56,1,0,9,1,2,0,9,Si
311,2019,59405601,3,594,56,1,0,9,1,3,0,9,Si
312,2019,59405601,5,594,56,1,0,9,2,4,0,9,No
313,2019,64012201,3,640,122,1,2,0,2,1,2,0,No
314,2019,75300801,2,753,8,1,1,0,2,1,1,0,No
315,2019,75300901,1,753,9,1,0,3,2,1,0,3,No
316,2019,75306901,1,753,69,1,1,0,2,1,1,0,No
317,2019,75613901,1,756,139,1,15,0,2,1,15,0,No
318,2019,75700201,2,757,2,1,10,0,2,1,10,0,No
319,2019,75700401,2,757,4,1,4,0,2,1,4,0,No
320,2019,75704801,2,757,48,1,5,0,2,1,5,0,No
321,2019,75704901,2,757,49,1,1,0,2,1,1,0,No
322,2019,75705001,2,757,50,1,5,0,2,1,5,0,No
323,2019,75705201,2,757,52,1,5,0,2,1,5,0,No
324,2019,75705301,1,757,53,1,1,0,2,1,1,0,No
325,2019,75804101,2,758,41,1,8,0,2,1,8,0,No
326,2019,75804201,2,758,42,1,2,0,2,1,2,0,No
327,2019,75804301,2,758,43,1,6,0,2,1,6,0,No
328,2019,75804501,2,758,45,1,0,8,2,1,0,8,No
329,2019,75805001,1,758,50,1,2,0,2,1,2,0,No
330,2019,78004201,2,780,42,1,0,5,2,1,0,5,No
331,2019,78720402,1,787,204,2,1,2,1,1,1,2,Si
332,2019,78720402,2,787,204,2,1,2,1,2,1,2,Si
333,2019,78720402,3,787,204,2,1,2,1,3,1,2,Si
334,2019,78720402,4,787,204,2,1,2,2,4,1,2,No
335,2019,79110401,2,791,104,1,5,0,2,1,5,0,No
336,2019,80701201,1,807,12,1,19,0,1,1,19,0,Si
337,2019,80701201,2,807,12,1,2,0,1,2,2,0,Si
338,2019,80701201,3,807,12,1,0,6,2,3,0,6,No
339,2019,81702101,2,817,21,1,10,0,2,1,10,0,No
340,2019,81702301,2,817,23,1,4,0,1,1,4,0,Si
341,2019,81702301,3,817,23,1,3,6,2,2,3,6,No
342,2019,81702501,1,817,25,1,10,0,1,1,10,0,Si
343,2019,81702501,2,817,25,1,10,0,1,2,10,0,Si
344,2019,81702501,3,817,25,1,10,0,1,3,10,0,Si
345,2019,81702501,4,817,25,1,10,0,1,4,10,0,Si
346,2019,81702501,5,817,25,1,9,0,1,5,9,0,Si
347,2019,81702501,6,817,25,1,4,5,1,6,4,5,Si
348,2019,81702501,7,817,25,1,1,6,2,7,1,6,No
349,2019,85600301,1,856,3,1,4,0,2,1,4,0,No
350,2019,85705501,1,857,55,1,19,0,2,1,19,0,No
351,2019,85811201,2,858,112,1,2,0,2,1,2,0,No
352,2019,86900601,1,869,6,1,19,0,2,1,19,0,No
353,2019,89303201,2,893,32,1,4,0,2,1,4,0,No
354,2019,90201101,1,902,11,1,19,0,2,1,19,0,No
355,2019,90504001,1,905,40,1,2,2,1,1,2,2,Si
356,2019,90504001,2,905,40,1,2,2,1,2,2,2,Si
357,2019,90504001,3,905,40,1,2,2,1,3,2,2,Si
358,2019,90504001,4,905,40,1,2,2,1,4,2,2,Si
359,2019,90504001,5,905,40,1,2,2,2,5,2,2,No
360,2019,90608101,4,906,81,1,2,0,2,1,2,0,No
361,2019,91112501,2,911,125,1,10,2,1,1,10,2,Si
362,2019,91112501,3,911,125,1,6,2,1,2,6,2,Si
363,2019,91112501,4,911,125,1,2,2,1,3,2,2,Si
364,2019,91112501,5,911,125,1,10,2,2,4,10,2,No
365,2019,95207001,3,952,70,1,7,1,2,1,7,1,No
366,2019,96225601,2,962,256,1,14,3,1,1,14,3,Si
367,2019,96225601,4,962,256,1,10,3,2,2,10,3,No
368,2019,96303101,1,963,31,1,19,0,1,1,19,0,Si
369,2019,96303101,2,963,31,1,15,0,1,2,15,0,Si
370,2019,96303101,3,963,31,1,10,0,1,3,10,0,Si
371,2019,96303101,4,963,31,1,19,0,1,4,19,0,Si
372,2019,96303101,5,963,31,1,19,0,1,5,19,0,Si
373,2019,96303101,6,963,31,1,19,0,2,6,19,0,No
374,2019,96616901,1,966,169,1,12,0,2,1,12,0,No
375,2019,97700401,2,977,4,1,17,5,2,1,17,5,No
376,2019,98010101,1,980,101,1,0,3,2,1,0,3,No
377,2019,98010601,1,980,106,1,2,0,1,1,2,0,Si
378,2019,98010601,5,980,106,1,2,0,2,2,2,0,No
379,2019,100115201,1,1001,152,1,4,4,2,1,4,4,No
380,2019,100213401,2,1002,134,1,4,3,2,1,4,3,No
381,2019,101306301,1,1013,63,1,10,0,2,1,10,0,No
382,2019,103202301,1,1032,23,1,5,0,2,1,5,0,No
383,2019,103700101,1,1037,1,1,14,1,2,1,14,1,No
384,2019,103708701,2,1037,87,1,8,0,2,1,8,0,No
385,2019,103708801,1,1037,88,1,5,1,2,1,5,1,No
386,2019,104206301,2,1042,63,1,0,1,2,1,0,1,No
387,2019,113203001,1,1132,30,1,6,0,2,1,6,0,No
388,2019,114002301,1,1140,23,1,0,3,1,1,0,3,Si
389,2019,114002301,2,1140,23,1,0,3,1,2,0,3,Si
390,2019,114002301,3,1140,23,1,0,3,2,3,0,3,No
391,2019,114701701,1,1147,17,1,4,2,1,1,4,2,Si
392,2019,114701701,2,1147,17,1,2,0,1,2,2,0,Si
393,2019,114701701,3,1147,17,1,2,0,1,3,2,0,Si
394,2019,114701701,4,1147,17,1,2,0,2,4,2,0,No
395,2019,114702101,1,1147,21,1,2,0,1,1,2,0,Si
396,2019,114702101,2,1147,21,1,2,0,1,2,2,0,Si
397,2019,114702101,3,1147,21,1,2,0,2,3,2,0,No
398,2019,114702201,1,1147,22,1,0,3,1,1,0,3,Si
399,2019,114702201,2,1147,22,1,0,3,1,2,0,3,Si
400,2019,114702201,3,1147,22,1,0,3,1,3,0,3,Si
401,2019,114702201,4,1147,22,1,0,3,1,4,0,3,Si
402,2019,114702201,5,1147,22,1,0,3,1,5,0,3,Si
403,2019,114702201,6,1147,22,1,0,3,2,6,0,3,No
404,2019,114702801,1,1147,28,1,2,0,2,1,2,0,No
405,2019,114702901,1,1147,29,1,2,2,1,1,2,2,Si
406,2019,114702901,2,1147,29,1,2,2,1,2,2,2,Si
407,2019,114702901,3,1147,29,1,2,2,2,3,2,2,No
408,2019,114703201,1,1147,32,1,2,2,1,1,2,2,Si
409,2019,114703201,2,1147,32,1,2,2,2,2,2,2,No
410,2019,114703301,1,1147,33,1,3,98,2,1,3,No sabe,No
411,2019,114703401,1,1147,34,1,2,0,2,1,2,0,No
412,2019,114703501,1,1147,35,1,2,2,2,1,2,2,No
413,2019,114703601,1,1147,36,1,5,98,1,1,5,No sabe,Si
414,2019,114703601,2,1147,36,1,5,98,1,2,5,No sabe,Si
415,2019,114703601,4,1147,36,1,5,98,1,3,5,No sabe,Si
416,2019,114703601,5,1147,36,1,5,98,1,4,5,No sabe,Si
