,PS_QALIWARMA-ID1-anho,PS_QALIWARMA-HHID-identificacion_cuestionario_del_hogar,PS_QALIWARMA-HVIDX-numero_de_orden_en_el_hogar,PS_QALIWARMA-QHCLUSTER-conglomerado,PS_QALIWARMA-QHNUMBER-vivienda_seleccionada,PS_QALIWARMA-QHHOME-hogar_seleccionado,PS_QALIWARMA-PS109_1R-recibio_desayuno_y/o_almuerzo_del_programa_nacional_de_alimentacion_escolar_qaliwarma,PS_QALIWARMA-PS109_1A-hace_cuanto_tiempo_es_beneficiario:_anhos,PS_QALIWARMA-PS109_1M-hace_cuanto_tiempo_es_beneficiario:_meses,PS_QALIWARMA-PS109_1S-alguien_mas_es_beneficiario,PS_QALIWARMA-PS7-numero_de_orden,PS_QALIWARMA-PS109_1A-hace_cuanto_tiempo_es_beneficiario:_anhos_LABEL,PS_QALIWARMA-PS109_1M-hace_cuanto_tiempo_es_beneficiario:_meses_LABEL,PS_QALIWARMA-PS109_1R-recibio_desayuno_y/o_almuerzo_del_programa_nacional_de_alimentacion_escolar_qaliwarma_LABEL,PS_QALIWARMA-PS109_1S-alguien_mas_es_beneficiario_LABEL
69,2019,1407401,3,14,74,1,1,3,1,1,1,3,1,Si,Si
70,2019,1407401,4,14,74,1,1,3,1,2,2,3,1,Si,No
71,2019,1409601,3,14,96,1,1,3,1,2,1,3,1,Si,No
72,2019,1504501,5,15,45,1,1,0,1,2,1,0,1,Si,No
73,2019,1507701,3,15,77,1,1,1,1,2,1,1,1,Si,No
74,2019,1508801,5,15,88,1,2,0,0,2,1,0,0,No,No
75,2019,1514501,4,15,145,1,1,2,1,2,1,2,1,Si,No
76,2019,1515001,3,15,150,1,2,0,0,1,1,0,0,No,Si
77,2019,1515001,4,15,150,1,2,0,0,2,2,0,0,No,No
78,2019,1518301,2,15,183,1,2,0,0,2,1,0,0,No,No
79,2019,1600701,4,16,7,1,1,0,4,2,1,0,4,Si,No
80,2019,1602601,3,16,26,1,1,4,4,1,1,4,4,Si,Si
81,2019,1602601,4,16,26,1,1,5,4,2,2,5,4,Si,No
82,2019,1605101,3,16,51,1,1,3,4,1,1,3,4,Si,Si
83,2019,1605101,4,16,51,1,1,0,4,2,2,0,4,Si,No
84,2019,1607101,4,16,71,1,1,1,3,2,1,1,3,Si,No
85,2019,1701901,3,17,19,1,1,3,1,1,1,3,1,Si,Si
86,2019,1701901,4,17,19,1,1,3,1,1,2,3,1,Si,Si
87,2019,1701901,5,17,19,1,1,0,1,2,3,0,1,Si,No
88,2019,1707401,4,17,74,1,1,4,2,2,1,4,2,Si,No
89,2019,1710801,4,17,108,1,2,0,0,2,1,0,0,No,No
90,2019,1712201,4,17,122,1,1,3,1,2,1,3,1,Si,No
91,2019,1715801,3,17,158,1,1,3,1,1,1,3,1,Si,Si
92,2019,1715801,4,17,158,1,1,2,1,2,2,2,1,Si,No
93,2019,1901601,3,19,16,1,1,5,4,1,1,5,4,Si,Si
94,2019,1901601,5,19,16,1,1,3,4,2,2,3,4,Si,No
95,2019,1902601,4,19,26,1,1,6,4,2,1,6,4,Si,No
96,2019,1905501,2,19,55,1,1,1,4,2,1,1,4,Si,No
97,2019,1907501,4,19,75,1,1,5,4,2,1,5,4,Si,No
98,2019,2100101,4,21,1,1,1,2,4,2,1,2,4,Si,No
99,2019,2114701,3,21,147,1,1,2,4,2,1,2,4,Si,No
100,2019,2117501,3,21,175,1,2,0,0,2,1,0,0,No,No
101,2019,2117901,4,21,179,1,1,5,4,1,1,5,4,Si,Si
102,2019,2117901,5,21,179,1,1,3,4,1,2,3,4,Si,Si
103,2019,2117901,6,21,179,1,1,2,4,2,3,2,4,Si,No
104,2019,2200401,3,22,4,1,2,0,0,1,1,0,0,No,Si
105,2019,2200401,4,22,4,1,2,0,0,1,2,0,0,No,Si
106,2019,2200401,5,22,4,1,2,0,0,2,3,0,0,No,No
107,2019,2202501,3,22,25,1,2,0,0,2,1,0,0,No,No
108,2019,2204501,3,22,45,1,2,0,0,1,1,0,0,No,Si
109,2019,2204501,4,22,45,1,2,0,0,2,2,0,0,No,No
110,2019,2205101,4,22,51,1,2,0,0,1,1,0,0,No,Si
111,2019,2205101,5,22,51,1,2,0,0,2,2,0,0,No,No
112,2019,2206901,3,22,69,1,1,1,1,2,1,1,1,Si,No
113,2019,2210101,4,22,101,1,1,2,3,2,1,2,3,Si,No
114,2019,2301901,3,23,19,1,1,6,0,2,1,6,0,Si,No
115,2019,2303601,3,23,36,1,1,4,0,1,1,4,0,Si,Si
116,2019,2303601,4,23,36,1,1,0,1,2,2,0,1,Si,No
117,2019,2304301,3,23,43,1,1,4,1,2,1,4,1,Si,No
118,2019,2307201,3,23,72,1,1,6,0,1,1,6,0,Si,Si
119,2019,2307201,4,23,72,1,1,0,1,2,2,0,1,Si,No
120,2019,2310401,4,23,104,1,1,0,1,2,1,0,1,Si,No
121,2019,2602201,4,26,22,1,2,0,0,2,1,0,0,No,No
122,2019,2803201,3,28,32,1,1,3,3,2,1,3,3,Si,No
123,2019,2804501,4,28,45,1,1,0,3,1,1,0,3,Si,Si
124,2019,2804501,5,28,45,1,1,0,3,2,2,0,3,Si,No
125,2019,2805101,3,28,51,1,1,0,3,2,1,0,3,Si,No
126,2019,2805701,4,28,57,1,1,6,3,2,1,6,3,Si,No
127,2019,2807901,3,28,79,1,1,1,3,2,1,1,3,Si,No
128,2019,2903201,4,29,32,1,1,5,2,1,1,5,2,Si,Si
129,2019,2903201,5,29,32,1,1,1,2,2,2,1,2,Si,No
130,2019,2903501,3,29,35,1,1,0,2,1,1,0,2,Si,Si
131,2019,2903501,5,29,35,1,1,3,2,2,2,3,2,Si,No
132,2019,2904201,3,29,42,1,1,5,1,1,1,5,1,Si,Si
133,2019,2904201,4,29,42,1,1,3,1,2,2,3,1,Si,No
134,2019,2904301,5,29,43,1,1,5,2,1,1,5,2,Si,Si
135,2019,2904301,6,29,43,1,1,2,2,2,2,2,2,Si,No
136,2019,2904401,3,29,44,1,1,2,1,1,1,2,1,Si,Si
137,2019,2904401,5,29,44,1,1,4,1,2,2,4,1,Si,No
138,2019,2904601,3,29,46,1,1,3,2,2,1,3,2,Si,No
139,2019,2905701,3,29,57,1,1,5,2,1,1,5,2,Si,Si
140,2019,2905701,4,29,57,1,1,4,2,1,2,4,2,Si,Si
141,2019,2905701,5,29,57,1,1,1,2,2,3,1,2,Si,No
142,2019,2905801,2,29,58,1,1,6,2,1,1,6,2,Si,Si
143,2019,2905801,3,29,58,1,1,0,2,2,2,0,2,Si,No
144,2019,2906001,3,29,60,1,1,5,2,1,1,5,2,Si,Si
145,2019,2906001,4,29,60,1,1,5,2,1,2,5,2,Si,Si
146,2019,2906001,5,29,60,1,1,2,2,1,3,2,2,Si,Si
147,2019,2906001,6,29,60,1,1,0,2,2,4,0,2,Si,No
148,2019,3000101,5,30,1,1,1,6,1,1,1,6,1,Si,Si
149,2019,3000101,6,30,1,1,1,5,1,2,2,5,1,Si,No
150,2019,3000401,5,30,4,1,1,5,1,1,1,5,1,Si,Si
151,2019,3000401,6,30,4,1,1,2,1,2,2,2,1,Si,No
152,2019,3000601,3,30,6,1,1,5,1,1,1,5,1,Si,Si
153,2019,3000601,4,30,6,1,1,4,1,2,2,4,1,Si,No
154,2019,3000801,4,30,8,1,1,6,1,2,1,6,1,Si,No
155,2019,3008801,3,30,88,1,1,2,1,1,1,2,1,Si,Si
156,2019,3008801,4,30,88,1,1,0,1,2,2,0,1,Si,No
157,2019,3009101,4,30,91,1,1,5,1,1,1,5,1,Si,Si
158,2019,3009101,5,30,91,1,1,4,1,1,2,4,1,Si,Si
159,2019,3009101,6,30,91,1,1,2,1,2,3,2,1,Si,No
160,2019,3010201,2,30,102,1,1,6,1,1,1,6,1,Si,Si
161,2019,3010201,3,30,102,1,1,2,1,2,2,2,1,Si,No
162,2019,3010501,2,30,105,1,1,2,1,2,1,2,1,Si,No
163,2019,3010601,3,30,106,1,1,4,1,1,1,4,1,Si,Si
164,2019,3010601,4,30,106,1,1,4,1,1,2,4,1,Si,Si
165,2019,3010601,5,30,106,1,1,3,1,2,3,3,1,Si,No
166,2019,3100601,6,31,6,1,1,6,0,1,1,6,0,Si,Si
167,2019,3100601,7,31,6,1,1,6,0,1,2,6,0,Si,Si
168,2019,3100601,8,31,6,1,1,0,1,2,3,0,1,Si,No
169,2019,3100701,4,31,7,1,1,4,0,1,1,4,0,Si,Si
170,2019,3100701,5,31,7,1,1,2,0,2,2,2,0,Si,No
171,2019,3100801,4,31,8,1,1,6,0,1,1,6,0,Si,Si
172,2019,3100801,5,31,8,1,1,4,0,2,2,4,0,Si,No
173,2019,3100901,3,31,9,1,1,3,1,1,1,3,1,Si,Si
174,2019,3100901,4,31,9,1,1,0,10,2,2,0,10,Si,No
175,2019,3101101,2,31,11,1,1,2,0,2,1,2,0,Si,No
176,2019,3118001,4,31,180,1,1,2,0,1,1,2,0,Si,Si
177,2019,3118001,5,31,180,1,1,0,1,1,2,0,1,Si,Si
178,2019,3118001,7,31,180,1,1,5,0,2,3,5,0,Si,No
179,2019,3118501,3,31,185,1,1,3,0,1,1,3,0,Si,Si
180,2019,3118501,4,31,185,1,1,2,0,1,2,2,0,Si,Si
181,2019,3118501,5,31,185,1,1,0,1,2,3,0,1,Si,No
182,2019,3209701,3,32,97,1,1,5,3,1,1,5,3,Si,Si
183,2019,3209701,4,32,97,1,1,3,3,1,2,3,3,Si,Si
184,2019,3209701,5,32,97,1,1,0,3,2,3,0,3,Si,No
185,2019,3209801,3,32,98,1,1,6,3,1,1,6,3,Si,Si
186,2019,3209801,4,32,98,1,1,6,3,1,2,6,3,Si,Si
187,2019,3209801,5,32,98,1,1,5,3,1,3,5,3,Si,Si
188,2019,3209801,7,32,98,1,1,5,3,2,4,5,3,Si,No
189,2019,3209901,3,32,99,1,1,3,3,2,1,3,3,Si,No
190,2019,3210001,3,32,100,1,1,6,3,1,1,6,3,Si,Si
191,2019,3210001,5,32,100,1,1,1,3,2,2,1,3,Si,No
192,2019,3216301,3,32,163,1,1,6,3,1,1,6,3,Si,Si
193,2019,3216301,4,32,163,1,1,1,3,2,2,1,3,Si,No
194,2019,3216401,3,32,164,1,1,3,3,1,1,3,3,Si,Si
195,2019,3216401,4,32,164,1,1,1,3,1,2,1,3,Si,Si
196,2019,3216401,5,32,164,1,1,0,3,2,3,0,3,Si,No
197,2019,3217601,3,32,176,1,1,0,3,1,1,0,3,Si,Si
198,2019,3217601,4,32,176,1,1,6,3,2,2,6,3,Si,No
199,2019,3217701,5,32,177,1,1,5,3,2,1,5,3,Si,No
200,2019,3218101,3,32,181,1,1,3,3,1,1,3,3,Si,Si
201,2019,3218101,4,32,181,1,1,0,3,2,2,0,3,Si,No
202,2019,3600801,3,36,8,1,1,1,4,2,1,1,4,Si,No
203,2019,3602101,4,36,21,1,1,0,4,2,1,0,4,Si,No
204,2019,3611001,3,36,110,1,1,5,4,2,1,5,4,Si,No
205,2019,3809101,3,38,91,1,1,0,1,2,1,0,1,Si,No
206,2019,3809301,4,38,93,1,2,0,0,2,1,0,0,No,No
207,2019,3813601,4,38,136,1,1,1,3,2,1,1,3,Si,No
208,2019,3813801,3,38,138,1,2,0,0,1,1,0,0,No,Si
209,2019,3813801,4,38,138,1,1,0,3,2,2,0,3,Si,No
210,2019,3814001,3,38,140,1,1,2,3,2,1,2,3,Si,No
211,2019,3815101,3,38,151,1,1,1,3,1,1,1,3,Si,Si
212,2019,3815101,5,38,151,1,2,0,0,2,2,0,0,No,No
213,2019,3815201,2,38,152,1,2,0,0,1,1,0,0,No,Si
214,2019,3815201,3,38,152,1,2,0,0,2,2,0,0,No,No
215,2019,3815401,3,38,154,1,2,0,0,1,1,0,0,No,Si
216,2019,3815401,4,38,154,1,2,0,0,2,2,0,0,No,No
217,2019,3815501,3,38,155,1,2,0,0,1,1,0,0,No,Si
218,2019,3815501,4,38,155,1,1,0,1,2,2,0,1,Si,No
219,2019,4007201,4,40,72,1,1,6,4,1,1,6,4,Si,Si
220,2019,4007201,5,40,72,1,1,0,4,2,2,0,4,Si,No
221,2019,4007301,3,40,73,1,1,0,4,2,1,0,4,Si,No
222,2019,4007401,2,40,74,1,1,5,4,2,1,5,4,Si,No
223,2019,4007501,4,40,75,1,2,0,0,1,1,0,0,No,Si
224,2019,4007501,5,40,75,1,2,0,0,2,2,0,0,No,No
225,2019,4011901,3,40,119,1,1,5,4,2,1,5,4,Si,No
226,2019,4012001,3,40,120,1,1,0,4,2,1,0,4,Si,No
227,2019,4012301,5,40,123,1,1,1,4,2,1,1,4,Si,No
228,2019,4012401,4,40,124,1,1,3,4,2,1,3,4,Si,No
229,2019,4100101,2,41,1,1,1,5,2,2,1,5,2,Si,No
230,2019,4100301,3,41,3,1,1,5,2,2,1,5,2,Si,No
231,2019,4100401,3,41,4,1,1,6,4,2,1,6,4,Si,No
232,2019,4102601,4,41,26,1,1,6,2,2,1,6,2,Si,No
233,2019,4103001,5,41,30,1,1,6,2,1,1,6,2,Si,Si
234,2019,4103001,7,41,30,1,1,4,2,2,2,4,2,Si,No
235,2019,4108501,5,41,85,1,1,5,2,2,1,5,2,Si,No
236,2019,4202401,5,42,24,1,1,5,2,1,1,5,2,Si,Si
237,2019,4202401,6,42,24,1,1,3,2,1,2,3,2,Si,Si
238,2019,4202401,7,42,24,1,1,2,2,1,3,2,2,Si,Si
239,2019,4202401,8,42,24,1,1,1,2,1,4,1,2,Si,Si
240,2019,4202401,9,42,24,1,1,1,2,2,5,1,2,Si,No
241,2019,4202601,3,42,26,1,1,5,2,1,1,5,2,Si,Si
242,2019,4202601,4,42,26,1,1,1,2,1,2,1,2,Si,Si
243,2019,4202601,5,42,26,1,1,0,2,2,3,0,2,Si,No
244,2019,4202801,5,42,28,1,1,6,2,1,1,6,2,Si,Si
245,2019,4202801,6,42,28,1,1,5,2,1,2,5,2,Si,Si
246,2019,4202801,7,42,28,1,1,1,2,2,3,1,2,Si,No
247,2019,4203301,3,42,33,1,1,0,2,2,1,0,2,Si,No
248,2019,4203901,4,42,39,1,1,3,2,1,1,3,2,Si,Si
249,2019,4203901,8,42,39,1,1,2,2,2,2,2,2,Si,No
250,2019,4204001,3,42,40,1,1,5,2,1,1,5,2,Si,Si
251,2019,4204001,4,42,40,1,1,4,2,1,2,4,2,Si,Si
252,2019,4204001,5,42,40,1,1,1,2,2,3,1,2,Si,No
253,2019,4204401,3,42,44,1,1,5,2,2,1,5,2,Si,No
254,2019,4204501,3,42,45,1,1,2,2,2,1,2,2,Si,No
255,2019,4204601,6,42,46,1,1,1,2,1,1,1,2,Si,Si
256,2019,4204601,7,42,46,1,1,1,2,2,2,1,2,Si,No
257,2019,4204701,3,42,47,1,1,3,2,1,1,3,2,Si,Si
258,2019,4204701,4,42,47,1,1,2,2,1,2,2,2,Si,Si
259,2019,4204701,5,42,47,1,1,0,2,2,3,0,2,Si,No
260,2019,4300501,3,43,5,1,2,0,0,2,1,0,0,No,No
261,2019,4304101,3,43,41,1,2,0,0,1,1,0,0,No,Si
262,2019,4304101,4,43,41,1,2,0,0,1,2,0,0,No,Si
263,2019,4304101,5,43,41,1,2,0,0,1,3,0,0,No,Si
264,2019,4304101,6,43,41,1,2,0,0,2,4,0,0,No,No
265,2019,4402101,3,44,21,1,1,5,2,1,1,5,2,Si,Si
266,2019,4402101,4,44,21,1,1,1,2,2,2,1,2,Si,No
267,2019,4402201,3,44,22,1,1,4,2,2,1,4,2,Si,No
268,2019,4402401,3,44,24,1,1,3,2,2,1,3,2,Si,No
269,2019,4404301,3,44,43,1,1,5,2,1,1,5,2,Si,Si
270,2019,4404301,4,44,43,1,1,1,2,2,2,1,2,Si,No
271,2019,4404601,7,44,46,1,1,5,4,1,1,5,4,Si,Si
272,2019,4404601,9,44,46,1,1,1,2,2,2,1,2,Si,No
273,2019,4409001,3,44,90,1,1,1,2,2,1,1,2,Si,No
274,2019,4409101,4,44,91,1,1,5,2,2,1,5,2,Si,No
275,2019,4501301,6,45,13,1,2,0,0,1,1,0,0,No,Si
276,2019,4501301,8,45,13,1,1,6,0,2,2,6,0,Si,No
277,2019,4501501,3,45,15,1,1,1,0,2,1,1,0,Si,No
278,2019,4503601,3,45,36,1,1,1,0,2,1,1,0,Si,No
279,2019,4503801,2,45,38,1,1,6,0,1,1,6,0,Si,Si
280,2019,4503801,3,45,38,1,1,6,0,2,2,6,0,Si,No
281,2019,4503901,3,45,39,1,1,4,0,2,1,4,0,Si,No
282,2019,4506101,3,45,61,1,1,6,0,2,1,6,0,Si,No
283,2019,4506201,4,45,62,1,1,1,0,2,1,1,0,Si,No
284,2019,4506301,6,45,63,1,1,3,0,2,1,3,0,Si,No
285,2019,4802201,3,48,22,1,2,0,0,2,1,0,0,No,No
286,2019,4802301,3,48,23,1,2,0,0,2,1,0,0,No,No
287,2019,4802501,3,48,25,1,2,0,0,1,1,0,0,No,Si
288,2019,4802501,4,48,25,1,2,0,0,2,2,0,0,No,No
289,2019,4802601,3,48,26,1,2,0,0,1,1,0,0,No,Si
290,2019,4802601,4,48,26,1,2,0,0,2,2,0,0,No,No
291,2019,4804001,3,48,40,1,2,0,0,1,1,0,0,No,Si
292,2019,4804001,4,48,40,1,2,0,0,2,2,0,0,No,No
293,2019,4804101,5,48,41,1,2,0,0,2,1,0,0,No,No
294,2019,4805901,3,48,59,1,2,0,0,2,1,0,0,No,No
295,2019,4806201,3,48,62,1,2,0,0,1,1,0,0,No,Si
296,2019,4806201,5,48,62,1,2,0,0,2,2,0,0,No,No
297,2019,4903501,5,49,35,1,1,2,0,1,1,2,0,Si,Si
298,2019,4903501,6,49,35,1,2,0,0,2,2,0,0,No,No
299,2019,4903601,3,49,36,1,2,0,0,2,1,0,0,No,No
300,2019,4906301,3,49,63,1,1,5,0,2,1,5,0,Si,No
301,2019,4906501,3,49,65,1,1,4,0,1,1,4,0,Si,Si
302,2019,4906501,4,49,65,1,1,0,1,2,2,0,1,Si,No
303,2019,4906601,4,49,66,1,1,3,0,1,1,3,0,Si,Si
304,2019,4906601,5,49,66,1,1,1,0,2,2,1,0,Si,No
305,2019,4907501,3,49,75,1,1,0,1,2,1,0,1,Si,No
306,2019,4907801,3,49,78,1,1,0,1,1,1,0,1,Si,Si
307,2019,4907801,4,49,78,1,1,3,0,2,2,3,0,Si,No
308,2019,4907901,4,49,79,1,1,1,0,1,1,1,0,Si,Si
309,2019,4907901,5,49,79,1,1,1,0,2,2,1,0,Si,No
310,2019,5005101,2,50,51,1,1,2,2,2,1,2,2,Si,No
311,2019,5005301,3,50,53,1,1,0,2,2,1,0,2,Si,No
312,2019,5005401,5,50,54,1,1,4,2,1,1,4,2,Si,Si
313,2019,5005401,6,50,54,1,1,2,2,2,2,2,2,Si,No
314,2019,5005501,3,50,55,1,1,6,2,1,1,6,2,Si,Si
315,2019,5005501,4,50,55,1,1,1,2,2,2,1,2,Si,No
316,2019,5005801,4,50,58,1,1,6,2,1,1,6,2,Si,Si
317,2019,5005801,5,50,58,1,1,5,2,2,2,5,2,Si,No
318,2019,5006001,5,50,60,1,1,1,2,2,1,1,2,Si,No
319,2019,5008101,5,50,81,1,1,3,2,2,1,3,2,Si,No
320,2019,5008201,7,50,82,1,1,5,2,2,1,5,2,Si,No
321,2019,5008301,4,50,83,1,1,0,2,2,1,0,2,Si,No
322,2019,5008401,3,50,84,1,1,0,2,2,1,0,2,Si,No
323,2019,5100701,4,51,7,1,1,6,3,1,1,6,3,Si,Si
324,2019,5100701,5,51,7,1,1,0,3,2,2,0,3,Si,No
325,2019,5101001,4,51,10,1,1,6,3,1,1,6,3,Si,Si
326,2019,5101001,6,51,10,1,1,5,3,1,2,5,3,Si,Si
327,2019,5101001,7,51,10,1,1,4,3,1,3,4,3,Si,Si
328,2019,5101001,8,51,10,1,1,1,3,2,4,1,3,Si,No
329,2019,5103101,4,51,31,1,1,3,3,2,1,3,3,Si,No
330,2019,5103201,3,51,32,1,1,1,3,2,1,1,3,Si,No
331,2019,5103301,3,51,33,1,1,1,3,2,1,1,3,Si,No
332,2019,5103501,3,51,35,1,1,2,3,2,1,2,3,Si,No
333,2019,5106801,4,51,68,1,1,6,3,2,1,6,3,Si,No
334,2019,5107001,3,51,70,1,1,6,3,1,1,6,3,Si,Si
335,2019,5107001,4,51,70,1,1,1,3,2,2,1,3,Si,No
336,2019,5107101,3,51,71,1,1,3,3,2,1,3,3,Si,No
337,2019,5201901,4,52,19,1,1,4,2,2,1,4,2,Si,No
338,2019,5202301,3,52,23,1,1,3,2,1,1,3,2,Si,Si
339,2019,5202301,4,52,23,1,1,2,1,2,2,2,1,Si,No
340,2019,5204801,2,52,48,1,1,2,1,2,1,2,1,Si,No
341,2019,5205001,6,52,50,1,1,2,1,2,1,2,1,Si,No
342,2019,5205101,3,52,51,1,1,0,2,2,1,0,2,Si,No
343,2019,5205201,4,52,52,1,1,5,2,1,1,5,2,Si,Si
344,2019,5205201,5,52,52,1,1,2,1,2,2,2,1,Si,No
345,2019,5210101,5,52,101,1,1,1,1,2,1,1,1,Si,No
346,2019,5210201,3,52,102,1,1,0,1,2,1,0,1,Si,No
347,2019,5210501,3,52,105,1,1,2,1,2,1,2,1,Si,No
348,2019,5300101,5,53,1,1,1,5,1,1,1,5,1,Si,Si
349,2019,5300101,6,53,1,1,1,4,1,1,2,4,1,Si,Si
350,2019,5300101,7,53,1,1,1,3,1,1,3,3,1,Si,Si
351,2019,5300101,8,53,1,1,1,3,1,1,4,3,1,Si,Si
352,2019,5300101,9,53,1,1,1,1,1,2,5,1,1,Si,No
353,2019,5300201,3,53,2,1,1,3,0,1,1,3,0,Si,Si
354,2019,5300201,5,53,2,1,1,6,0,2,2,6,0,Si,No
