,PS_WAWAWASI-ID1-anho,PS_WAWAWASI-HHID-identificacion_cuestionario_del_hogar,PS_WAWAWASI-HVIDX-numero_de_orden_en_el_hogar,PS_WAWAWASI-QHCLUSTER-conglomerado,PS_WAWAWASI-QHNUMBER-vivienda_seleccionada,PS_WAWAWASI-QHHOME-hogar_seleccionado,PS_WAWAWASI-PS107_1A-hace_cuanto_tiempo_es_beneficiario:_anhos,PS_WAWAWASI-PS107_1M-hace_cuanto_tiempo_es_beneficiario:_meses,PS_WAWAWASI-PS107_1S-alguien_mas_es_beneficiario,PS_WAWAWASI-PS6-numero_de_orden,PS_WAWAWASI-PS107_1A-hace_cuanto_tiempo_es_beneficiario:_anhos_LABEL,PS_WAWAWASI-PS107_1M-hace_cuanto_tiempo_es_beneficiario:_meses_LABEL,PS_WAWAWASI-PS107_1S-alguien_mas_es_beneficiario_LABEL
81,2019,29005101,4,290,51,1,0,2,2,1,0,2,No
82,2019,29501301,11,295,13,1,0,2,2,1,0,2,No
83,2019,29501701,5,295,17,1,1,1,2,1,1,1,No
84,2019,29703701,5,297,37,1,1,0,2,1,1,0,No
85,2019,29721401,4,297,214,1,1,0,2,1,1,0,No
86,2019,30617201,4,306,172,1,0,6,2,1,0,6,No
87,2019,30807001,4,308,70,1,0,9,2,1,0,9,No
88,2019,31206901,4,312,69,1,0,1,2,1,0,1,No
89,2019,31311001,5,313,110,1,0,2,2,1,0,2,No
90,2019,31604901,5,316,49,1,2,2,2,1,2,2,No
91,2019,31607801,5,316,78,1,0,11,2,1,0,11,No
92,2019,31611201,4,316,112,1,0,6,2,1,0,6,No
93,2019,31801601,4,318,16,1,1,98,2,1,1,No sabe,No
94,2019,31809601,3,318,96,1,1,98,2,1,1,No sabe,No
95,2019,31915201,3,319,152,1,2,0,2,1,2,0,No
96,2019,34404401,4,344,44,1,1,0,2,1,1,0,No
97,2019,35304201,3,353,42,1,0,1,2,1,0,1,No
98,2019,35512701,4,355,127,1,0,6,2,1,0,6,No
99,2019,36600701,6,366,7,1,0,9,2,1,0,9,No
100,2019,37103501,4,371,35,1,0,2,2,1,0,2,No
101,2019,37105301,3,371,53,1,0,7,2,1,0,7,No
102,2019,37204201,8,372,42,1,0,1,2,1,0,1,No
103,2019,37507101,3,375,71,1,1,0,2,1,1,0,No
104,2019,37602301,3,376,23,1,1,2,2,1,1,2,No
105,2019,39408101,6,394,81,1,0,4,2,1,0,4,No
106,2019,43204701,3,432,47,1,0,6,2,1,0,6,No
107,2019,43909201,3,439,92,1,0,5,2,1,0,5,No
108,2019,44504901,4,445,49,1,0,1,2,1,0,1,No
109,2019,45402601,5,454,26,1,0,2,2,1,0,2,No
110,2019,45408301,3,454,83,1,0,11,2,1,0,11,No
111,2019,45707701,4,457,77,1,1,9,1,1,1,9,Si
112,2019,45707701,5,457,77,1,1,9,2,2,1,9,No
113,2019,46100501,4,461,5,1,0,2,2,1,0,2,No
114,2019,46305601,5,463,56,1,0,8,2,1,0,8,No
115,2019,46801301,6,468,13,1,1,6,2,1,1,6,No
116,2019,47404701,2,474,47,1,1,8,2,1,1,8,No
117,2019,47406801,3,474,68,1,2,0,2,1,2,0,No
118,2019,47618101,5,476,181,1,1,7,2,1,1,7,No
119,2019,47801901,4,478,19,1,0,2,2,1,0,2,No
120,2019,47805501,4,478,55,1,1,0,2,1,1,0,No
121,2019,47902101,4,479,21,1,1,6,2,1,1,6,No
122,2019,47904401,4,479,44,1,0,4,2,1,0,4,No
123,2019,48003101,6,480,31,1,1,9,2,1,1,9,No
124,2019,48006001,4,480,60,1,0,4,2,1,0,4,No
125,2019,48006401,5,480,64,1,1,4,2,1,1,4,No
126,2019,48011701,3,480,117,1,0,3,2,1,0,3,No
127,2019,48301701,6,483,17,1,0,1,1,1,0,1,Si
128,2019,48301701,8,483,17,1,1,1,2,2,1,1,No
129,2019,48501701,5,485,17,1,0,4,2,1,0,4,No
130,2019,48501901,5,485,19,1,1,3,2,1,1,3,No
131,2019,49000701,4,490,7,1,2,0,2,1,2,0,No
132,2019,49000801,4,490,8,1,0,7,2,1,0,7,No
133,2019,49002701,4,490,27,1,0,6,2,1,0,6,No
134,2019,49004801,6,490,48,1,0,2,2,1,0,2,No
135,2019,49008201,6,490,82,1,0,8,2,1,0,8,No
136,2019,49008801,3,490,88,1,1,0,2,1,1,0,No
137,2019,49100301,5,491,3,1,1,6,2,1,1,6,No
138,2019,49101701,6,491,17,1,0,1,2,1,0,1,No
139,2019,49103901,3,491,39,1,1,3,2,1,1,3,No
140,2019,49104501,6,491,45,1,0,8,2,1,0,8,No
141,2019,49106301,4,491,63,1,0,2,2,1,0,2,No
142,2019,49302001,4,493,20,1,1,9,2,1,1,9,No
143,2019,49304901,7,493,49,1,1,10,2,1,1,10,No
144,2019,49605301,5,496,53,1,0,4,2,1,0,4,No
145,2019,49701201,3,497,12,1,1,0,2,1,1,0,No
146,2019,50306101,5,503,61,1,1,3,2,1,1,3,No
147,2019,50506001,4,505,60,1,0,2,2,1,0,2,No
148,2019,50602501,5,506,25,1,0,4,2,1,0,4,No
149,2019,50605201,5,506,52,1,0,1,2,1,0,1,No
150,2019,50704301,6,507,43,1,0,3,2,1,0,3,No
151,2019,50706201,3,507,62,1,0,2,2,1,0,2,No
152,2019,50802301,6,508,23,1,1,3,2,1,1,3,No
153,2019,51203801,3,512,38,1,1,0,2,1,1,0,No
154,2019,51207501,4,512,75,1,1,2,2,1,1,2,No
155,2019,51302901,10,513,29,1,0,1,2,1,0,1,No
156,2019,51304101,3,513,41,1,1,6,2,1,1,6,No
157,2019,51307901,8,513,79,1,1,1,2,1,1,1,No
158,2019,51309101,4,513,91,1,1,11,2,1,1,11,No
159,2019,51309501,5,513,95,1,2,5,2,1,2,5,No
160,2019,52110601,7,521,106,1,1,0,2,1,1,0,No
161,2019,52612801,3,526,128,1,1,6,2,1,1,6,No
162,2019,53211401,4,532,114,1,0,6,2,1,0,6,No
163,2019,53303701,3,533,37,1,0,6,2,1,0,6,No
164,2019,53500901,2,535,9,1,1,11,2,1,1,11,No
165,2019,53609301,4,536,93,1,0,11,2,1,0,11,No
166,2019,54400501,6,544,5,1,1,0,2,1,1,0,No
167,2019,55403701,4,554,37,1,1,0,2,1,1,0,No
168,2019,55403901,3,554,39,1,0,6,2,1,0,6,No
169,2019,55404101,3,554,41,1,0,9,2,1,0,9,No
170,2019,55409401,5,554,94,1,0,1,2,1,0,1,No
171,2019,56502101,5,565,21,1,1,6,2,1,1,6,No
172,2019,56502501,5,565,25,1,0,4,2,1,0,4,No
173,2019,58000901,4,580,9,1,0,2,2,1,0,2,No
174,2019,59405601,3,594,56,1,0,1,2,1,0,1,No
175,2019,59406101,3,594,61,1,1,0,2,1,1,0,No
176,2019,61807101,6,618,71,1,0,5,2,1,0,5,No
177,2019,65206001,2,652,60,1,1,6,2,1,1,6,No
178,2019,65811101,3,658,111,1,0,4,2,1,0,4,No
179,2019,66002601,2,660,26,1,0,2,2,1,0,2,No
180,2019,67911901,3,679,119,1,0,2,1,1,0,2,Si
181,2019,67911901,5,679,119,1,0,2,2,2,0,2,No
182,2019,68118201,4,681,182,1,1,3,2,1,1,3,No
183,2019,68302101,5,683,21,1,0,5,2,1,0,5,No
184,2019,69311901,5,693,119,1,0,6,2,1,0,6,No
185,2019,69410201,3,694,102,1,1,2,2,1,1,2,No
186,2019,70317701,5,703,177,1,1,0,2,1,1,0,No
187,2019,73002401,4,730,24,1,1,5,2,1,1,5,No
188,2019,73400801,3,734,8,1,0,2,2,1,0,2,No
189,2019,74410301,3,744,103,1,0,5,2,1,0,5,No
190,2019,74907801,3,749,78,1,1,0,2,1,1,0,No
191,2019,75602201,4,756,22,1,0,8,2,1,0,8,No
192,2019,75612601,3,756,126,1,1,1,2,1,1,1,No
193,2019,75804301,6,758,43,1,1,0,2,1,1,0,No
194,2019,76901201,4,769,12,1,1,7,2,1,1,7,No
195,2019,76917701,3,769,177,1,2,7,2,1,2,7,No
196,2019,77907701,4,779,77,1,1,2,2,1,1,2,No
197,2019,78120001,3,781,200,1,0,1,2,1,0,1,No
198,2019,79013801,3,790,138,1,1,8,2,1,1,8,No
199,2019,79525101,4,795,251,1,1,4,1,1,1,4,Si
200,2019,79525101,5,795,251,1,0,4,2,2,0,4,No
201,2019,80407301,7,804,73,1,1,0,2,1,1,0,No
202,2019,80802001,3,808,20,1,0,2,2,1,0,2,No
203,2019,81504501,3,815,45,1,0,6,2,1,0,6,No
204,2019,81505601,8,815,56,1,1,5,2,1,1,5,No
205,2019,81702401,7,817,24,1,1,6,2,1,1,6,No
206,2019,85214801,3,852,148,1,0,1,2,1,0,1,No
207,2019,88513501,6,885,135,1,0,6,1,1,0,6,Si
208,2019,88513501,7,885,135,1,0,4,2,2,0,4,No
209,2019,98711601,4,987,116,1,1,2,2,1,1,2,No
210,2019,98810901,7,988,109,1,0,1,2,1,0,1,No
211,2019,98904701,3,989,47,1,0,2,2,1,0,2,No
212,2019,99509901,3,995,99,1,0,1,2,1,0,1,No
213,2019,99514101,9,995,141,1,1,6,2,1,1,6,No
214,2019,99601001,3,996,10,1,0,1,2,1,0,1,No
215,2019,99815301,5,998,153,1,0,2,2,1,0,2,No
216,2019,100705001,3,1007,50,1,0,6,2,1,0,6,No
217,2019,101100701,3,1011,7,1,0,2,2,1,0,2,No
218,2019,101201601,5,1012,16,1,0,1,1,1,0,1,Si
219,2019,101201601,7,1012,16,1,1,6,2,2,1,6,No
220,2019,101206301,4,1012,63,1,1,6,2,1,1,6,No
221,2019,102801201,4,1028,12,1,1,5,2,1,1,5,No
222,2019,103601001,4,1036,10,1,0,10,2,1,0,10,No
223,2019,103608901,4,1036,89,1,0,1,2,1,0,1,No
224,2019,103908701,2,1039,87,1,1,0,1,1,1,0,Si
225,2019,103908701,3,1039,87,1,1,0,1,2,1,0,Si
226,2019,103908701,5,1039,87,1,0,6,2,3,0,6,No
227,2019,104506601,4,1045,66,1,0,2,2,1,0,2,No
228,2019,104513201,4,1045,132,1,0,4,2,1,0,4,No
229,2019,105105601,3,1051,56,1,0,1,2,1,0,1,No
230,2019,105910701,4,1059,107,1,0,4,2,1,0,4,No
231,2019,106011601,9,1060,116,1,1,3,2,1,1,3,No
232,2019,106410201,4,1064,102,1,1,0,2,1,1,0,No
233,2019,107605601,7,1076,56,1,1,6,2,1,1,6,No
234,2019,109530401,9,1095,304,1,1,4,2,1,1,4,No
235,2019,109530501,3,1095,305,1,1,2,2,1,1,2,No
236,2019,113305601,5,1133,56,1,1,0,2,1,1,0,No
237,2019,115403301,4,1154,33,1,1,0,2,1,1,0,No
238,2019,115710801,4,1157,108,1,1,3,2,1,1,3,No
239,2019,115711001,3,1157,110,1,0,6,2,1,0,6,No
240,2019,116612001,2,1166,120,1,0,4,2,1,0,4,No
241,2019,117310101,4,1173,101,1,0,1,2,1,0,1,No
242,2019,117600801,5,1176,8,1,0,1,2,1,0,1,No
243,2019,117602001,3,1176,20,1,1,6,2,1,1,6,No
244,2019,119302101,5,1193,21,1,1,8,2,1,1,8,No
245,2019,119303301,3,1193,33,1,0,1,2,1,0,1,No
246,2019,119412101,3,1194,121,1,0,3,2,1,0,3,No
247,2019,119510801,4,1195,108,1,0,2,2,1,0,2,No
248,2019,119608501,4,1196,85,1,0,6,2,1,0,6,No
249,2019,119705501,6,1197,55,1,0,1,2,1,0,1,No
250,2019,119801801,6,1198,18,1,1,4,2,1,1,4,No
251,2019,119809301,6,1198,93,1,0,2,2,1,0,2,No
252,2019,120411601,3,1204,116,1,0,9,2,1,0,9,No
253,2019,120705901,6,1207,59,1,0,2,2,1,0,2,No
254,2019,120904901,3,1209,49,1,0,2,2,1,0,2,No
255,2019,122101201,4,1221,12,1,0,2,2,1,0,2,No
256,2019,122201001,4,1222,10,1,1,3,2,1,1,3,No
257,2019,122406201,6,1224,62,1,1,0,2,1,1,0,No
258,2019,122411301,3,1224,113,1,0,1,2,1,0,1,No
259,2019,122502001,4,1225,20,1,1,0,2,1,1,0,No
260,2019,122509301,4,1225,93,1,0,3,2,1,0,3,No
261,2019,122604701,3,1226,47,1,0,3,2,1,0,3,No
262,2019,122802501,3,1228,25,1,0,9,2,1,0,9,No
263,2019,123007901,5,1230,79,1,0,1,2,1,0,1,No
264,2019,123114501,6,1231,145,1,1,4,2,1,1,4,No
265,2019,123206101,3,1232,61,1,0,1,2,1,0,1,No
266,2019,123213801,3,1232,138,1,0,5,2,1,0,5,No
267,2019,123313101,3,1233,131,1,1,0,2,1,1,0,No
268,2019,123704401,4,1237,44,1,0,8,2,1,0,8,No
269,2019,123712001,7,1237,120,1,1,0,2,1,1,0,No
270,2019,123903501,2,1239,35,1,0,9,2,1,0,9,No
271,2019,124018401,4,1240,184,1,0,6,2,1,0,6,No
272,2019,124306201,2,1243,62,1,1,8,2,1,1,8,No
273,2019,124306601,5,1243,66,1,0,7,2,1,0,7,No
274,2019,124401901,4,1244,19,1,1,0,2,1,1,0,No
275,2019,124600101,4,1246,1,1,1,0,2,1,1,0,No
276,2019,124602601,4,1246,26,1,0,1,2,1,0,1,No
277,2019,124605501,5,1246,55,1,1,6,2,1,1,6,No
278,2019,124606201,3,1246,62,1,1,0,2,1,1,0,No
279,2019,124908201,4,1249,82,1,0,6,2,1,0,6,No
280,2019,125012501,5,1250,125,1,1,0,2,1,1,0,No
281,2019,125016701,4,1250,167,1,0,3,2,1,0,3,No
282,2019,125100101,4,1251,1,1,0,8,2,1,0,8,No
283,2019,125104301,3,1251,43,1,0,2,2,1,0,2,No
284,2019,125104501,4,1251,45,1,0,10,2,1,0,10,No
285,2019,125105601,4,1251,56,1,0,2,2,1,0,2,No
286,2019,125513301,5,1255,133,1,1,2,2,1,1,2,No
287,2019,125513401,5,1255,134,1,1,6,2,1,1,6,No
288,2019,125610901,3,1256,109,1,0,1,2,1,0,1,No
289,2019,125700801,3,1257,8,1,1,6,2,1,1,6,No
290,2019,125903501,2,1259,35,1,0,1,2,1,0,1,No
291,2019,127103401,6,1271,34,1,1,9,2,1,1,9,No
292,2019,128210101,5,1282,101,1,0,1,2,1,0,1,No
293,2019,132114901,4,1321,149,1,0,4,2,1,0,4,No
294,2019,133002401,5,1330,24,1,1,0,2,1,1,0,No
295,2019,133111801,4,1331,118,1,0,9,2,1,0,9,No
296,2019,133501601,3,1335,16,1,0,6,2,1,0,6,No
297,2019,134201301,5,1342,13,1,0,4,2,1,0,4,No
298,2019,134208501,5,1342,85,1,0,1,2,1,0,1,No
299,2019,136604101,5,1366,41,1,0,1,2,1,0,1,No
300,2019,138702401,3,1387,24,1,0,6,2,1,0,6,No
301,2019,140100301,4,1401,3,1,0,7,2,1,0,7,No
302,2019,140100303,3,1401,3,3,1,9,2,1,1,9,No
303,2019,140105301,7,1401,53,1,0,2,2,1,0,2,No
304,2019,140302101,6,1403,21,1,0,1,2,1,0,1,No
305,2019,140706101,5,1407,61,1,1,6,2,1,1,6,No
306,2019,141103401,4,1411,34,1,0,1,2,1,0,1,No
307,2019,141106001,5,1411,60,1,0,10,2,1,0,10,No
308,2019,141110501,3,1411,105,1,0,3,2,1,0,3,No
309,2019,141509901,5,1415,99,1,2,0,2,1,2,0,No
310,2019,142112501,4,1421,125,1,0,7,2,1,0,7,No
311,2019,142115201,4,1421,152,1,0,7,2,1,0,7,No
312,2019,143004301,4,1430,43,1,1,0,2,1,1,0,No
313,2019,143012601,5,1430,126,1,0,11,2,1,0,11,No
314,2019,144211401,5,1442,114,1,0,1,2,1,0,1,No
315,2019,144312501,5,1443,125,1,2,2,2,1,2,2,No
316,2019,144504601,4,1445,46,1,1,4,2,1,1,4,No
317,2019,144811201,3,1448,112,1,1,4,2,1,1,4,No
318,2019,146513201,4,1465,132,1,1,5,2,1,1,5,No
319,2019,146513803,3,1465,138,3,1,0,1,1,1,0,Si
320,2019,146513803,4,1465,138,3,1,0,2,2,1,0,No
321,2019,147903401,4,1479,34,1,0,1,2,1,0,1,No
322,2019,148102901,6,1481,29,1,0,1,2,1,0,1,No
323,2019,148103701,4,1481,37,1,1,3,2,1,1,3,No
324,2019,148411501,7,1484,115,1,2,0,2,1,2,0,No
325,2019,149105301,3,1491,53,1,1,0,2,1,1,0,No
326,2019,149501001,3,1495,10,1,2,1,2,1,2,1,No
327,2019,149508301,3,1495,83,1,1,1,2,1,1,1,No
328,2019,149511501,4,1495,115,1,1,0,2,1,1,0,No
329,2019,149607601,3,1496,76,1,2,4,2,1,2,4,No
330,2019,149800501,3,1498,5,1,1,0,2,1,1,0,No
331,2019,149803801,3,1498,38,1,0,1,2,1,0,1,No
332,2019,149810901,4,1498,109,1,1,1,2,1,1,1,No
333,2019,149904401,3,1499,44,1,1,3,2,1,1,3,No
334,2019,150107601,2,1501,76,1,1,3,2,1,1,3,No
335,2019,150107701,2,1501,77,1,1,3,2,1,1,3,No
336,2019,150107901,5,1501,79,1,1,3,2,1,1,3,No
337,2019,151207301,3,1512,73,1,0,9,2,1,0,9,No
338,2019,151214601,4,1512,146,1,1,0,2,1,1,0,No
339,2019,151500301,8,1515,3,1,0,3,2,1,0,3,No
340,2019,151802101,3,1518,21,1,0,4,2,1,0,4,No
341,2019,151912901,5,1519,129,1,1,2,2,1,1,2,No
342,2019,152003201,3,1520,32,1,1,0,1,1,1,0,Si
343,2019,152003201,4,1520,32,1,0,5,2,2,0,5,No
344,2019,152005901,4,1520,59,1,0,4,2,1,0,4,No
345,2019,152016101,5,1520,161,1,0,5,2,1,0,5,No
346,2019,152610901,7,1526,109,1,0,1,2,1,0,1,No
347,2019,153103801,4,1531,38,1,0,3,2,1,0,3,No
348,2019,153402501,6,1534,25,1,0,3,2,1,0,3,No
349,2019,153803501,3,1538,35,1,0,4,2,1,0,4,No
350,2019,153905901,4,1539,59,1,1,6,2,1,1,6,No
351,2019,153912601,5,1539,126,1,0,1,2,1,0,1,No
352,2019,154011601,4,1540,116,1,0,4,2,1,0,4,No
353,2019,154400201,4,1544,2,1,1,5,2,1,1,5,No
354,2019,154404701,7,1544,47,1,0,4,2,1,0,4,No
355,2019,154513601,5,1545,136,1,1,0,2,1,1,0,No
356,2019,154716001,5,1547,160,1,0,3,2,1,0,3,No
357,2019,155111501,6,1551,115,1,1,2,2,1,1,2,No
358,2019,155805701,4,1558,57,1,2,0,2,1,2,0,No
359,2019,156004801,3,1560,48,1,1,1,2,1,1,1,No
360,2019,156600701,5,1566,7,1,0,3,2,1,0,3,No
361,2019,158702601,3,1587,26,1,0,2,2,1,0,2,No
362,2019,158807901,3,1588,79,1,0,8,2,1,0,8,No
363,2019,159201901,4,1592,19,1,0,1,2,1,0,1,No
364,2019,159606301,10,1596,63,1,0,3,2,1,0,3,No
365,2019,160604901,3,1606,49,1,0,6,2,1,0,6,No
366,2019,160815001,7,1608,150,1,0,4,2,1,0,4,No
367,2019,161310201,3,1613,102,1,1,3,2,1,1,3,No
368,2019,161404401,2,1614,44,1,0,6,2,1,0,6,No
369,2019,161410901,3,1614,109,1,0,6,2,1,0,6,No
370,2019,163206501,4,1632,65,1,1,6,2,1,1,6,No
371,2019,163212301,5,1632,123,1,0,7,2,1,0,7,No
372,2019,163214301,5,1632,143,1,1,0,2,1,1,0,No
373,2019,163806501,3,1638,65,1,0,6,2,1,0,6,No
374,2019,163809001,3,1638,90,1,1,6,2,1,1,6,No
375,2019,164006701,4,1640,67,1,1,0,2,1,1,0,No
376,2019,164007701,4,1640,77,1,0,4,2,1,0,4,No
377,2019,164211701,5,1642,117,1,0,1,2,1,0,1,No
378,2019,164308701,3,1643,87,1,0,6,1,1,0,6,Si
379,2019,164308701,4,1643,87,1,1,0,2,2,1,0,No
380,2019,164310901,3,1643,109,1,0,1,2,1,0,1,No
381,2019,164907201,6,1649,72,1,0,5,1,1,0,5,Si
382,2019,164907201,7,1649,72,1,0,5,2,2,0,5,No
383,2019,165005401,7,1650,54,1,0,11,2,1,0,11,No
384,2019,165006301,5,1650,63,1,0,6,2,1,0,6,No
385,2019,167403401,3,1674,34,1,0,6,2,1,0,6,No
386,2019,167600501,7,1676,5,1,0,3,2,1,0,3,No
387,2019,167807701,4,1678,77,1,0,5,2,1,0,5,No
388,2019,167808001,3,1678,80,1,0,5,2,1,0,5,No
389,2019,167809501,3,1678,95,1,1,5,2,1,1,5,No
390,2019,167811601,4,1678,116,1,1,5,2,1,1,5,No
391,2019,167811701,4,1678,117,1,0,5,2,1,0,5,No
392,2019,168008001,5,1680,80,1,0,1,2,1,0,1,No
393,2019,168009401,5,1680,94,1,0,1,2,1,0,1,No
394,2019,168500301,3,1685,3,1,0,8,2,1,0,8,No
395,2019,168601801,11,1686,18,1,0,10,2,1,0,10,No
396,2019,170306301,4,1703,63,1,0,4,2,1,0,4,No
397,2019,170507901,4,1705,79,1,0,3,2,1,0,3,No
398,2019,171613901,6,1716,139,1,0,4,2,1,0,4,No
399,2019,172004501,5,1720,45,1,0,9,2,1,0,9,No
400,2019,172008201,5,1720,82,1,0,2,2,1,0,2,No
401,2019,172600601,5,1726,6,1,0,9,2,1,0,9,No
402,2019,173006201,4,1730,62,1,0,6,2,1,0,6,No
403,2019,173902501,3,1739,25,1,0,4,2,1,0,4,No
404,2019,174007501,4,1740,75,1,0,8,2,1,0,8,No
405,2019,174210201,6,1742,102,1,1,2,2,1,1,2,No
406,2019,174214801,3,1742,148,1,1,6,2,1,1,6,No
407,2019,174304101,5,1743,41,1,0,7,2,1,0,7,No
408,2019,174501901,5,1745,19,1,0,1,2,1,0,1,No
409,2019,174800101,3,1748,1,1,1,8,2,1,1,8,No
410,2019,174804201,3,1748,42,1,0,11,2,1,0,11,No
411,2019,174804801,3,1748,48,1,1,6,2,1,1,6,No
412,2019,175004301,5,1750,43,1,0,7,2,1,0,7,No
413,2019,175111301,3,1751,113,1,1,0,2,1,1,0,No
414,2019,175117401,3,1751,174,1,1,3,1,1,1,3,Si
