Nº,VARIABLE,DESCRIPCIÓN DE LAS VARIABLES,TIPO DE CARÁCTER,LONGITUD,RANGO DE VARIACIÓN,VALORES,DESCRIPCIÓN DE LAS ALTERNATIVAS,OBS
14,HV213,Material predominante del piso de la vivienda,N,2,"11, 21, 31:34, 96",34,Cemento/ladrillo,
14,HV213,Material predominante del piso de la vivienda,N,2,"11, 21, 31:34, 96",96,Otro,
15,HV214,Material predominante de las paredes exteriores de la vivienda,N,2,"11, 21, 31:34, 96",11,Tablones/Madera,
15,HV214,Material predominante de las paredes exteriores de la vivienda,N,2,"11, 21, 31:34, 96",12,Estera,
15,HV214,Material predominante de las paredes exteriores de la vivienda,N,2,"11, 21, 31:34, 96",13,Caña/Bambu/Pona/Palma/Troncos/Tabique,
15,HV214,Material predominante de las paredes exteriores de la vivienda,N,2,"11, 21, 31:34, 96",21,Adobe o tapia,
15,HV214,Material predominante de las paredes exteriores de la vivienda,N,2,"11, 21, 31:34, 96",22,Quincha (caña con barro),
15,HV214,Material predominante de las paredes exteriores de la vivienda,N,2,"11, 21, 31:34, 96",23,Piedra con barro,
15,HV214,Material predominante de las paredes exteriores de la vivienda,N,2,"11, 21, 31:34, 96",24,Cartón,
15,HV214,Material predominante de las paredes exteriores de la vivienda,N,2,"11, 21, 31:34, 96",31,Ladrillo o bloques de cemento,
15,HV214,Material predominante de las paredes exteriores de la vivienda,N,2,"11, 21, 31:34, 96",32,Piedra o sillar con cal o cemento,
15,HV214,Material predominante de las paredes exteriores de la vivienda,N,2,"11, 21, 31:34, 96",33,Tripley,
15,HV214,Material predominante de las paredes exteriores de la vivienda,N,2,"11, 21, 31:34, 96",41,Sin paredes,
15,HV214,Material predominante de las paredes exteriores de la vivienda,N,2,"11, 21, 31:34, 96",96,Otro,
16,HV215,Material predominante del techo de la vivienda,N,2,"11:12, 21:22, 31:34, 41, 96",11,"Paja, hojas de palmera etc.",
16,HV215,Material predominante del techo de la vivienda,N,2,"11:12, 21:22, 31:34, 41, 96",12,Estera,
16,HV215,Material predominante del techo de la vivienda,N,2,"11:12, 21:22, 31:34, 41, 96",21,Caña o estera en torta de barro,
16,HV215,Material predominante del techo de la vivienda,N,2,"11:12, 21:22, 31:34, 41, 96",22,Cartón,
16,HV215,Material predominante del techo de la vivienda,N,2,"11:12, 21:22, 31:34, 41, 96",31,Concreto armado,
16,HV215,Material predominante del techo de la vivienda,N,2,"11:12, 21:22, 31:34, 41, 96",32,Madera,
16,HV215,Material predominante del techo de la vivienda,N,2,"11:12, 21:22, 31:34, 41, 96",33,Tejas,
16,HV215,Material predominante del techo de la vivienda,N,2,"11:12, 21:22, 31:34, 41, 96",34,"Plancha de calamina, fibra de cemento o similares",
16,HV215,Material predominante del techo de la vivienda,N,2,"11:12, 21:22, 31:34, 41, 96",41,Sin techo,
16,HV215,Material predominante del techo de la vivienda,N,2,"11:12, 21:22, 31:34, 41, 96",96,Otro,
17,HV216,Número de habitaciones utilizadas para dormir,N,2,0:15,,,
18,HV217,Estructura de relaciones en el hogar (composición de los hogares),N,1,1:5,1,Un adulto,
18,HV217,Estructura de relaciones en el hogar (composición de los hogares),N,1,1:5,2,"Dos adultos, diferente sexo",
18,HV217,Estructura de relaciones en el hogar (composición de los hogares),N,1,1:5,3,"Dos adultos, del mismo sexo",
18,HV217,Estructura de relaciones en el hogar (composición de los hogares),N,1,1:5,4,"Tres o más adultos con algún grado de
parentesco",
18,HV217,Estructura de relaciones en el hogar (composición de los hogares),N,1,1:5,5,Adultos sin grado de parentesco,
19,HV218,Número de orden del Jefe del hogar,N,1,1,,,
20,HV219,Sexo del jefe de hogar,N,1,1:2,1,Masculino,
20,HV219,Sexo del jefe de hogar,N,1,1:2,2,Femenino,
21,HV220,Edad del jefe de hogar,N,2,12:98,,,
22,HV221,Su hogar ¿tiene teléfono?,N,1,0:1,0,No,
22,HV221,Su hogar ¿tiene teléfono?,N,1,0:1,1,Si,
23,HV225,¿El servicio higiénico es compartido con otros hogares?,N,1,0:1,0,No,
23,HV225,¿El servicio higiénico es compartido con otros hogares?,N,1,0:1,1,Si,
24,HV226,¿Cuál es el combustible que utilizan más frecuentemente en su hogar para cocinar?,N,2,"1:11, 95, 96",1,Electricidad,
24,HV226,¿Cuál es el combustible que utilizan más frecuentemente en su hogar para cocinar?,N,2,"1:11, 95, 96",2,GLP,
24,HV226,¿Cuál es el combustible que utilizan más frecuentemente en su hogar para cocinar?,N,2,"1:11, 95, 96",3,Gas natural,
24,HV226,¿Cuál es el combustible que utilizan más frecuentemente en su hogar para cocinar?,N,2,"1:11, 95, 96",5,Kerosene,
24,HV226,¿Cuál es el combustible que utilizan más frecuentemente en su hogar para cocinar?,N,2,"1:11, 95, 96",6,Carbón vegetal,
24,HV226,¿Cuál es el combustible que utilizan más frecuentemente en su hogar para cocinar?,N,2,"1:11, 95, 96",7,Carbón mineral,
24,HV226,¿Cuál es el combustible que utilizan más frecuentemente en su hogar para cocinar?,N,2,"1:11, 95, 96",8,Leña,
24,HV226,¿Cuál es el combustible que utilizan más frecuentemente en su hogar para cocinar?,N,2,"1:11, 95, 96",9,Caña/Arbustos secos,
24,HV226,¿Cuál es el combustible que utilizan más frecuentemente en su hogar para cocinar?,N,2,"1:11, 95, 96",10,Residuos agrícolas,
24,HV226,¿Cuál es el combustible que utilizan más frecuentemente en su hogar para cocinar?,N,2,"1:11, 95, 96",11,Bosta,
24,HV226,¿Cuál es el combustible que utilizan más frecuentemente en su hogar para cocinar?,N,2,"1:11, 95, 96",95,No cocina,
24,HV226,¿Cuál es el combustible que utilizan más frecuentemente en su hogar para cocinar?,N,2,"1:11, 95, 96",96,Otro,
25,HV227,Tiene un mosquitero para dormir,N,1,,,,VALOR NULL
26,HV228,Los niños menores de 5 años durmieron bajo mosquiteros anoche,N,1,,,,VALOR NULL
27,HV234,Prueba de yodo para sal,N,3,"0, 7, 15, 30, 994, 995",0,0 PPM (sin yodo),
27,HV234,Prueba de yodo para sal,N,3,"0, 7, 15, 30, 994, 995",7,7 PPM,
27,HV234,Prueba de yodo para sal,N,3,"0, 7, 15, 30, 994, 995",15,15 PPM,
27,HV234,Prueba de yodo para sal,N,3,"0, 7, 15, 30, 994, 995",30,30 PPM,
27,HV234,Prueba de yodo para sal,N,3,"0, 7, 15, 30, 994, 995",994,No se realizó la prueb,
27,HV234,Prueba de yodo para sal,N,3,"0, 7, 15, 30, 994, 995",995,No hay sal en el hoga,
28,HV235,Ubicación de la fuente de agua,N,1,,,,VALOR NULL
29,HV236,Persona que a recoger agua para su hogar,N,1,"1:4, 6",1,Mujer adulta,
29,HV236,Persona que a recoger agua para su hogar,N,1,"1:4, 6",2,Hombre adulto,
29,HV236,Persona que a recoger agua para su hogar,N,1,"1:4, 6",3,Niño menor de 15 años,
29,HV236,Persona que a recoger agua para su hogar,N,1,"1:4, 6",4,Niños menores de 15 años,
29,HV236,Persona que a recoger agua para su hogar,N,1,"1:4, 6",6,Otro,
30,HV237,Hecho algo al agua para hacerla segura para beber,N,1,0:1,0,No,
30,HV237,Hecho algo al agua para hacerla segura para beber,N,1,0:1,1,Si,
31,HV237A,El agua usualmente es tratada por: hervida,N,1,0:1,0,No,
31,HV237A,El agua usualmente es tratada por: hervida,N,1,0:1,1,Si,
32,HV237B,El agua usualmente es tratada por: añadir lejía o cloro,N,1,0:1,0,No,
32,HV237B,El agua usualmente es tratada por: añadir lejía o cloro,N,1,0:1,1,Si,
33,HV237C,El agua usualmente es tratada por: filtro a través de un paño,N,1,0:1,0,No,
33,HV237C,El agua usualmente es tratada por: filtro a través de un paño,N,1,0:1,1,Si,
34,HV237D,El agua usualmente es tratada por: uso de agua filtrada,N,1,0:1,0,No,
34,HV237D,El agua usualmente es tratada por: uso de agua filtrada,N,1,0:1,1,Si,
35,HV237E,El agua usualmente es tratada por: desinfección solar,N,1,0:1,0,No,
35,HV237E,El agua usualmente es tratada por: desinfección solar,N,1,0:1,1,Si,
36,HV237F,El agua usualmente es tratada por: dejar reposar y asentarse,N,1,0:1,0,No,
36,HV237F,El agua usualmente es tratada por: dejar reposar y asentarse,N,1,0:1,1,Si,
37,HV237G,El agua usualmente es tratada por: CS - agua embotellada,N,1,0:1,0,No,
37,HV237G,El agua usualmente es tratada por: CS - agua embotellada,N,1,0:1,1,Si,
38,HV237H,El agua usualmente es tratada por: CS,N,1,0:1,0,No,VALOR NULL
38,HV237H,El agua usualmente es tratada por: CS,N,1,0:1,1,Si,VALOR NULL
39,HV237I,El agua usualmente es tratada por: CS,N,1,0:1,0,No,VALOR NULL
39,HV237I,El agua usualmente es tratada por: CS,N,1,0:1,1,Si,VALOR NULL
40,HV237J,El agua usualmente es tratada por: CS,N,1,0:1,0,No,VALOR NULL
40,HV237J,El agua usualmente es tratada por: CS,N,1,0:1,1,Si,VALOR NULL
41,HV237K,El agua usualmente es tratada por: CS,N,1,0:1,0,No,VALOR NULL
41,HV237K,El agua usualmente es tratada por: CS,N,1,0:1,1,Si,VALOR NULL
42,HV237X,El agua usualmente es tratada por: otros,N,1,0:1,0,No,
42,HV237X,El agua usualmente es tratada por: otros,N,1,0:1,1,Si,
43,HV237Z,El agua usualmente es tratada por: no sabe,N,1,0:1,0,No,VALOR NULL
43,HV237Z,El agua usualmente es tratada por: no sabe,N,1,0:1,1,Si,VALOR NULL
44,HV238,Número de hogares que comparten el baño,N,2,,95,10 o más hogares,VALOR NULL
44,HV238,Número de hogares que comparten el baño,N,2,,98,No sabe,VALOR NULL
45,HV239,Comida cocinada en estufa o fuego abierto,N,1,"1:3, 6",1,Abran fuego,VALOR NULL
45,HV239,Comida cocinada en estufa o fuego abierto,N,1,"1:3, 6",2,Estufa abierta,VALOR NULL
45,HV239,Comida cocinada en estufa o fuego abierto,N,1,"1:3, 6",3,Estufa cerrada con chimenea,VALOR NULL
45,HV239,Comida cocinada en estufa o fuego abierto,N,1,"1:3, 6",6,Otro,VALOR NULL
46,HV240,El hogar tiene una chimenea o una campana,N,1,0:2,0,Ni chimenea ni campana,VALOR NULL
46,HV240,El hogar tiene una chimenea o una campana,N,1,0:2,1,Tubo de lámpara,VALOR NULL
46,HV240,El hogar tiene una chimenea o una campana,N,1,0:2,2,capucha,VALOR NULL
47,HV241,"Comida preparada en la casa, en edificio separado o al aire libre",N,1,"1:3, 6",1,En la casa,VALOR NULL
47,HV241,"Comida preparada en la casa, en edificio separado o al aire libre",N,1,"1:3, 6",2,En un edificio separado,VALOR NULL
47,HV241,"Comida preparada en la casa, en edificio separado o al aire libre",N,1,"1:3, 6",3,Al aire libre,VALOR NULL
47,HV241,"Comida preparada en la casa, en edificio separado o al aire libre",N,1,"1:3, 6",6,Otro,VALOR NULL
48,HV242,¿Utilizan un cuarto especialmente para cocinar?,N,1,0:1,0,No,
48,HV242,¿Utilizan un cuarto especialmente para cocinar?,N,1,0:1,1,Si,
49,HV243A,¿Tiene un teléfono móvil (celular)?,N,1,0:1,0,No,
49,HV243A,¿Tiene un teléfono móvil (celular)?,N,1,0:1,1,Si,
50,HV243B,Tiene un reloj,N,1,0:1,0,No,VALOR NULL
50,HV243B,Tiene un reloj,N,1,0:1,1,Si,VALOR NULL
51,HV243C,¿Tiene un carreta jalada por animales?,N,1,0:1,0,No,
51,HV243C,¿Tiene un carreta jalada por animales?,N,1,0:1,1,Si,
52,HV243D,¿Tiene un bote a motor?,N,1,0:1,0,No,
52,HV243D,¿Tiene un bote a motor?,N,1,0:1,1,Si,
53,HV244,¿Algún miembro del hogar es dueño de tierras agrícolas?,N,1,0:1,0,No,
53,HV244,¿Algún miembro del hogar es dueño de tierras agrícolas?,N,1,0:1,1,Si,
54,HV245,¿Cuántas hectáreas de tierras agrícolas le pertenecen?,N,2,"0:96, 98",95,Más de 95,
54,HV245,¿Cuántas hectáreas de tierras agrícolas le pertenecen?,N,2,"0:96, 98",96,Superficie que no sea hectárea,
54,HV245,¿Cuántas hectáreas de tierras agrícolas le pertenecen?,N,2,"0:96, 98",98,No sabe,
55,HV246,"¿Algún miembro del hogar es dueño de ganadería, rebaños o animales de granja?",N,1,0:1,0,No,
55,HV246,"¿Algún miembro del hogar es dueño de ganadería, rebaños o animales de granja?",N,1,0:1,1,Si,
56,HV246A,Cantidad de: ganado,N,2,"0:95, 98",0,Ninguna,
56,HV246A,Cantidad de: ganado,N,2,"0:95, 98",95,Más de 95,
56,HV246A,Cantidad de: ganado,N,2,"0:95, 98",98,Desconocido,
57,HV246B,"Cantidad de: vacas, toros",N,2,"0:95, 98",0,Ninguna,VALOR NULL
57,HV246B,"Cantidad de: vacas, toros",N,2,"0:95, 98",95,Más de 95,VALOR NULL
57,HV246B,"Cantidad de: vacas, toros",N,2,"0:95, 98",98,Desconocido,VALOR NULL
58,HV246C,"Cantidad de: caballos, burros, mulas",N,2,"0:95, 98",0,Ninguna,
58,HV246C,"Cantidad de: caballos, burros, mulas",N,2,"0:95, 98",95,Más de 95,
58,HV246C,"Cantidad de: caballos, burros, mulas",N,2,"0:95, 98",98,Desconocido,
59,HV246D,Cantidad de: cabras,N,2,"0:95, 98",0,Ninguna,
59,HV246D,Cantidad de: cabras,N,2,"0:95, 98",95,Más de 95,
59,HV246D,Cantidad de: cabras,N,2,"0:95, 98",98,Desconocido,
60,HV246E,Cantidad de: ovejas,N,2,"0:95, 98",0,Ninguna,
60,HV246E,Cantidad de: ovejas,N,2,"0:95, 98",95,Más de 95,
60,HV246E,Cantidad de: ovejas,N,2,"0:95, 98",98,Desconocido,
61,HV246F,Cantidad de: pollos,N,2,"0:95, 98",0,Ninguna,VALOR NULL
61,HV246F,Cantidad de: pollos,N,2,"0:95, 98",95,Más de 95,VALOR NULL
61,HV246F,Cantidad de: pollos,N,2,"0:95, 98",98,Desconocido,VALOR NULL
62,HV246G,Cantidad de: aves de corral,N,2,"0:95, 98",0,Ninguna,
62,HV246G,Cantidad de: aves de corral,N,2,"0:95, 98",95,Más de 95,
62,HV246G,Cantidad de: aves de corral,N,2,"0:95, 98",98,Desconocido,
63,HV246H,Cantidad de: cuyes/conejos,N,2,"0:95, 98",0,Ninguna,
63,HV246H,Cantidad de: cuyes/conejos,N,2,"0:95, 98",95,Más de 95,
63,HV246H,Cantidad de: cuyes/conejos,N,2,"0:95, 98",98,Desconocido,
64,HV246I,Cantidad de: cerdos,N,2,"0:95, 98",0,Ninguna,
64,HV246I,Cantidad de: cerdos,N,2,"0:95, 98",95,Más de 95,
64,HV246I,Cantidad de: cerdos,N,2,"0:95, 98",98,Desconocido,
65,HV246J,Cantidad de: otros,N,2,"0:95, 98",0,Ninguna,
65,HV246J,Cantidad de: otros,N,2,"0:95, 98",95,Más de 95,
65,HV246J,Cantidad de: otros,N,2,"0:95, 98",98,Desconocido,
66,HV246K,CS propio,N,2,"0:95, 98",0,Ninguna,VALOR NULL
66,HV246K,CS propio,N,2,"0:95, 98",95,Más de 95,VALOR NULL
66,HV246K,CS propio,N,2,"0:95, 98",98,Desconocido,VALOR NULL
67,HV247,Posee una cuenta bancaria,N,1,0:1,0,No,VALOR NULL
67,HV247,Posee una cuenta bancaria,N,1,0:1,1,Si,VALOR NULL
68,HV248,Número de personas enfermas 18-59,N,2,,,,VALOR NULL
69,HV249,Miembro de la HH fallecido los últimos 12 meses,N,1,"0:1, 8",0,No,VALOR NULL
69,HV249,Miembro de la HH fallecido los últimos 12 meses,N,1,"0:1, 8",1,Si,VALOR NULL
69,HV249,Miembro de la HH fallecido los últimos 12 meses,N,1,"0:1, 8",8,No sabe,VALOR NULL
70,HV250,Número de miembros que murieron en los últimos 12 meses,N,2,,,,VALOR NULL
71,HV251,Número de huérfanos y niños vulnerables,N,2,,,,VALOR NULL
72,HML1,Número de mosquiteros,N,2,,,,VALOR NULL
73,HML1A,Número de mosquiteros con información específica,N,1,,,,VALOR NULL
74,HML2,Número de niños menores de edad en la noche anterior,N,2,,,,VALOR NULL
75,SHVER,Versión del cuestionario,N,1,,,,VALOR 0
76,SHREGION,Región natural,N,2,1:4,1,Lima metropolitana,
76,SHREGION,Región natural,N,2,1:4,2,Resto Costa,
76,SHREGION,Región natural,N,2,1:4,3,Sierra,
76,SHREGION,Región natural,N,2,1:4,4,Selva,
77,SHSEMES,Semestre,N,2,,,,
78,SHPROVIN,Provincia,N,2,,,,
79,SHDISTRI,Distrito,N,2,,,,
80,SHTOTH,Total de hogares en la vivienda,N,2,,,,
81,SHEQUIPO,Equipo de trabajo de campo,N,2,,,,
82,SH42,El abastecimiento de agua para beber está disponible todo el día,N,1,0:1,0,No,
82,SH42,El abastecimiento de agua para beber está disponible todo el día,N,1,0:1,1,Si,
83,SH43,Las últimas 2 semanas fueron interrumpidas por un día o más,N,1,0:1,0,No,VALOR NULL
83,SH43,Las últimas 2 semanas fueron interrumpidas por un día o más,N,1,0:1,1,Si,VALOR NULL
84,SH48,¿Conserva en un envase o recipiente el agua para beber?,N,1,0:1,0,No,
84,SH48,¿Conserva en un envase o recipiente el agua para beber?,N,1,0:1,1,Si,
85,SH49,Tipo de envase o recipiente,N,2,"1:4, 96",1,"Olla, tetera",
85,SH49,Tipo de envase o recipiente,N,2,"1:4, 96",2,Balde,
85,SH49,Tipo de envase o recipiente,N,2,"1:4, 96",3,Jarra,
85,SH49,Tipo de envase o recipiente,N,2,"1:4, 96",4,Bidón,
85,SH49,Tipo de envase o recipiente,N,2,"1:4, 96",96,Otro,
86,SH50,¿Lo usa con tapa?,N,1,0:1,0,No,
86,SH50,¿Lo usa con tapa?,N,1,0:1,1,Si,
87,SH51,Pago por el agua?,N,1,"0:1, 8",0,No,VALOR NULL
87,SH51,Pago por el agua?,N,1,"0:1, 8",1,Si,VALOR NULL
87,SH51,Pago por el agua?,N,1,"0:1, 8",8,No sabe,VALOR NULL
88,SH52,Institución de pago de agua,N,1,1:6,1,Agencia pública / empresa,VALOR NULL
88,SH52,Institución de pago de agua,N,1,1:6,2,Agencia privada / empresa,VALOR NULL
88,SH52,Institución de pago de agua,N,1,1:6,3,Otras provisiones privadas de agua,VALOR NULL
88,SH52,Institución de pago de agua,N,1,1:6,4,JASS,VALOR NULL
88,SH52,Institución de pago de agua,N,1,1:6,6,Otro,VALOR NULL
89,SH56,Con qué frecuencia se limpia el baño o la letrina?,N,1,1:6,1,Varias veces durante el,VALOR NULL
89,SH56,Con qué frecuencia se limpia el baño o la letrina?,N,1,1:6,2,Diariamente,VALOR NULL
89,SH56,Con qué frecuencia se limpia el baño o la letrina?,N,1,1:6,3,Varias veces durante el,VALOR NULL
89,SH56,Con qué frecuencia se limpia el baño o la letrina?,N,1,1:6,4,Semanal,VALOR NULL
89,SH56,Con qué frecuencia se limpia el baño o la letrina?,N,1,1:6,5,8 días,VALOR NULL
89,SH56,Con qué frecuencia se limpia el baño o la letrina?,N,1,1:6,6,Nunca,VALOR NULL
90,SH58,Dónde tira la basura?,N,2,"11:15, 21:24, 31, 41:44, 51, 61, 71, 81, 96,
98",11,Elegido en casa por el gobierno,VALOR NULL
90,SH58,Dónde tira la basura?,N,2,"11:15, 21:24, 31, 41:44, 51, 61, 71, 81, 96,
98",12,Elegido en el hogar por municipio,VALOR NULL
90,SH58,Dónde tira la basura?,N,2,"11:15, 21:24, 31, 41:44, 51, 61, 71, 81, 96,
98",13,Elegido en casa por la comunidad,VALOR NULL
90,SH58,Dónde tira la basura?,N,2,"11:15, 21:24, 31, 41:44, 51, 61, 71, 81, 96,
98",14,Elegido en casa por la empresa privada,VALOR NULL
90,SH58,Dónde tira la basura?,N,2,"11:15, 21:24, 31, 41:44, 51, 61, 71, 81, 96,
98",15,Elegido en casa por Otro,VALOR NULL
90,SH58,Dónde tira la basura?,N,2,"11:15, 21:24, 31, 41:44, 51, 61, 71, 81, 96,
98",21,Tirar en contenedores del gobierno,VALOR NULL
90,SH58,Dónde tira la basura?,N,2,"11:15, 21:24, 31, 41:44, 51, 61, 71, 81, 96,
98",22,Lanzar en el municipio containe,VALOR NULL
90,SH58,Dónde tira la basura?,N,2,"11:15, 21:24, 31, 41:44, 51, 61, 71, 81, 96,
98",23,Tirar en contenedores comunitarios,VALOR NULL
90,SH58,Dónde tira la basura?,N,2,"11:15, 21:24, 31, 41:44, 51, 61, 71, 81, 96,
98",24,Tirar en compañía privada,VALOR NULL
90,SH58,Dónde tira la basura?,N,2,"11:15, 21:24, 31, 41:44, 51, 61, 71, 81, 96,
98",31,Lanzar en un espacio abierto,VALOR NULL
90,SH58,Dónde tira la basura?,N,2,"11:15, 21:24, 31, 41:44, 51, 61, 71, 81, 96,
98",41,Tirar en un lugar lejano,VALOR NULL
90,SH58,Dónde tira la basura?,N,2,"11:15, 21:24, 31, 41:44, 51, 61, 71, 81, 96,
98",42,Tirar en las calles,VALOR NULL
90,SH58,Dónde tira la basura?,N,2,"11:15, 21:24, 31, 41:44, 51, 61, 71, 81, 96,
98",43,Tirar en yarda / parcela,VALOR NULL
