Nº,VARIABLE,DESCRIPCIÓN DE LAS VARIABLES,TIPO DE CARÁCTER,LONGITUD,RANGO DE VARIACIÓN,VALORES,DESCRIPCIÓN DE LAS ALTERNATIVAS,OBS
38,HC70,Talla/Edad de la Desviación Estándar de la mediana de referencia (según la OMS),N,4,-450:500,9998,Casos marcados,
39,HC71,Peso/Edad de la Desviación Estándar de la mediana de referencia (según la OMS),N,4,-450:500,9996,Altura fuera de los límites plausibles.,
39,HC71,Peso/Edad de la Desviación Estándar de la mediana de referencia (según la OMS),N,4,-450:500,9997,Edad en días fuera de límites plausibles,
39,HC71,Peso/Edad de la Desviación Estándar de la mediana de referencia (según la OMS),N,4,-450:500,9998,Casos marcados,
40,HC72,Peso/Talla Desviación Estándar de la mediana de referencia (según la OMS),N,4,-450:500,9996,Altura fuera de los límites plausibles.,
40,HC72,Peso/Talla Desviación Estándar de la mediana de referencia (según la OMS),N,4,-450:500,9997,Edad en días fuera de límites plausibles,
40,HC72,Peso/Talla Desviación Estándar de la mediana de referencia (según la OMS),N,4,-450:500,9998,Casos marcados,
41,HC73,Desviación Estándar del IMC (según la OMS),N,4,-450:500,9996,Altura fuera de los límites plausibles.,
41,HC73,Desviación Estándar del IMC (según la OMS),N,4,-450:500,9997,Edad en días fuera de límites plausibles,
41,HC73,Desviación Estándar del IMC (según la OMS),N,4,-450:500,9998,Casos marcados,
