Nº,VARIABLE,DESCRIPCIÓN DE LAS VARIABLES,TIPO DE CARÁCTER,LONGITUD,RANGO DE VARIACIÓN,VALORES,DESCRIPCIÓN DE LAS ALTERNATIVAS,OBS
24,QS812U,Unidad - tiempo que tiene el cepillo para lavarse los dientes,N,1,"1:2, 8",2,Un año o más,
24,QS812U,Unidad - tiempo que tiene el cepillo para lavarse los dientes,N,1,"1:2, 8",8,No sabe/No recuerda,
25,QS812C,Tiempo en meses que usa cepillo para lavarse los dientes,N,2,0:11,,,
26,QS813,Personas que usan cepillo dental de la niña(o),N,1,1:2,1,Solo la niña o el niño,
26,QS813,Personas que usan cepillo dental de la niña(o),N,1,1:2,2,Mas de una persona,
27,QS814,Usa crema dental cuando se cepilla los dientes la niña(o),N,1,1:2,1,Si,
27,QS814,Usa crema dental cuando se cepilla los dientes la niña(o),N,1,1:2,2,No,
28,QS817,Alguna vez un médico/otro personal de salud le ha evaluado o medido la vista con la cartilla Snellen a la niña(o),N,1,"1:2, 8",1,Si,
28,QS817,Alguna vez un médico/otro personal de salud le ha evaluado o medido la vista con la cartilla Snellen a la niña(o),N,1,"1:2, 8",2,No,
28,QS817,Alguna vez un médico/otro personal de salud le ha evaluado o medido la vista con la cartilla Snellen a la niña(o),N,1,"1:2, 8",8,No sabe/no recuerda,
29,QS818U,Unidad - tiempo que evaluaron o midieron la vista a la niña(o) la última vez,N,1,"1:2, 8",1,Meses (si es < de 2 años),
29,QS818U,Unidad - tiempo que evaluaron o midieron la vista a la niña(o) la última vez,N,1,"1:2, 8",2,Dos años o más,
29,QS818U,Unidad - tiempo que evaluaron o midieron la vista a la niña(o) la última vez,N,1,"1:2, 8",8,No sabe/No recuerda,
30,QS818C,Hace cuánto tiempo lo evaluaron de la vista,N,2,0:23,,,
31,QS819,Donde le evaluaron o midieron la vista a la niña(o) la última vez,N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",10,Hospital MINSA,
31,QS819,Donde le evaluaron o midieron la vista a la niña(o) la última vez,N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",11,Hospital ESSALUD,
31,QS819,Donde le evaluaron o midieron la vista a la niña(o) la última vez,N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",12,Hospital FFAA Y PNP,
31,QS819,Donde le evaluaron o midieron la vista a la niña(o) la última vez,N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",13,Hospital/Otra Municipal,
31,QS819,Donde le evaluaron o midieron la vista a la niña(o) la última vez,N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",14,Centro/Puesto del MINSA,
31,QS819,Donde le evaluaron o midieron la vista a la niña(o) la última vez,N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",15,Policlinico /Posta de ESSALUD/UBAP,
31,QS819,Donde le evaluaron o midieron la vista a la niña(o) la última vez,N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",20,Clínica/Consultorio Particular,
31,QS819,Donde le evaluaron o midieron la vista a la niña(o) la última vez,N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",21,Optica,
31,QS819,Donde le evaluaron o midieron la vista a la niña(o) la última vez,N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",30,Clinica/Posta de ONG,
31,QS819,Donde le evaluaron o midieron la vista a la niña(o) la última vez,N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",31,Hospital / Otro de Iglesia,
31,QS819,Donde le evaluaron o midieron la vista a la niña(o) la última vez,N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",40,Campaña del MINSA,
31,QS819,Donde le evaluaron o midieron la vista a la niña(o) la última vez,N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",41,Campaña de EsSalud,
31,QS819,Donde le evaluaron o midieron la vista a la niña(o) la última vez,N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",42,Otras Campañas,
31,QS819,Donde le evaluaron o midieron la vista a la niña(o) la última vez,N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",96,Otro,
31,QS819,Donde le evaluaron o midieron la vista a la niña(o) la última vez,N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",98,No sabe/No recuerda,
32,QS820,Le han diagnosticado un problema de visión y el uso de anteojos,N,1,"1:2, 8",1,Si,
32,QS820,Le han diagnosticado un problema de visión y el uso de anteojos,N,1,"1:2, 8",2,No,
32,QS820,Le han diagnosticado un problema de visión y el uso de anteojos,N,1,"1:2, 8",8,No sabe/no recuerda,
33,QS821,Que problema de visión le diagnosticaron,AN,6,A:Z,,,
34,QS822U,Unidad - tiempo desde que le indicaron el uso de lentes o anteojos a la niña(o),N,1,"1:2, 8",1,Meses (si es < de 2 años),
34,QS822U,Unidad - tiempo desde que le indicaron el uso de lentes o anteojos a la niña(o),N,1,"1:2, 8",2,Años (si es de 2 ó más años),
34,QS822U,Unidad - tiempo desde que le indicaron el uso de lentes o anteojos a la niña(o),N,1,"1:2, 8",8,No sabe/No recuerda,
35,QS822C,Hace cuánto tiempo le indicaron el uso de lentes a la niña(o),N,2,,,,
36,QS823,Donde le diagnosticaron el problema de visión a la niña(o),N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",10,Hospital MINSA,
36,QS823,Donde le diagnosticaron el problema de visión a la niña(o),N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",11,Hospital ESSALUD,
36,QS823,Donde le diagnosticaron el problema de visión a la niña(o),N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",12,Hospital FFAA Y PNP,
36,QS823,Donde le diagnosticaron el problema de visión a la niña(o),N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",13,Hospital/Otra Municipal,
36,QS823,Donde le diagnosticaron el problema de visión a la niña(o),N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",14,Centro/Puesto del MINSA,
36,QS823,Donde le diagnosticaron el problema de visión a la niña(o),N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",15,Policlinico /Posta de ESSALUD/UBAP,
36,QS823,Donde le diagnosticaron el problema de visión a la niña(o),N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",20,Clínica/Consultorio Particular,
36,QS823,Donde le diagnosticaron el problema de visión a la niña(o),N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",21,Optica,
36,QS823,Donde le diagnosticaron el problema de visión a la niña(o),N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",30,Clinica/Posta de ONG,
36,QS823,Donde le diagnosticaron el problema de visión a la niña(o),N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",31,Hospital / Otro de Iglesia,
36,QS823,Donde le diagnosticaron el problema de visión a la niña(o),N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",40,Campaña del MINSA,
36,QS823,Donde le diagnosticaron el problema de visión a la niña(o),N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",41,Campaña de EsSalud,
36,QS823,Donde le diagnosticaron el problema de visión a la niña(o),N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",42,Otras Campañas,
36,QS823,Donde le diagnosticaron el problema de visión a la niña(o),N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",96,Otro,
36,QS823,Donde le diagnosticaron el problema de visión a la niña(o),N,2,"10:15, 20:21, 30:31, 40:42, 96, 98",98,No sabe/No recuerda,
37,QS824,Está usando lentes o anteojos para mejorar su problema de visión de la niña(o),N,1,1:2,1,Si,
37,QS824,Está usando lentes o anteojos para mejorar su problema de visión de la niña(o),N,1,1:2,2,No,
38,QS825,Por qué motivo no está usando lentes o anteojos para corregir su problema de visión de la niña(o),N,1,"1:4, 6, 8",1,No compro por el precio,
38,QS825,Por qué motivo no está usando lentes o anteojos para corregir su problema de visión de la niña(o),N,1,"1:4, 6, 8",2,Se rompieron,
38,QS825,Por qué motivo no está usando lentes o anteojos para corregir su problema de visión de la niña(o),N,1,"1:4, 6, 8",3,No le gustan,
38,QS825,Por qué motivo no está usando lentes o anteojos para corregir su problema de visión de la niña(o),N,1,"1:4, 6, 8",4,Le molestan en el colegio,
38,QS825,Por qué motivo no está usando lentes o anteojos para corregir su problema de visión de la niña(o),N,1,"1:4, 6, 8",6,Otro,
38,QS825,Por qué motivo no está usando lentes o anteojos para corregir su problema de visión de la niña(o),N,1,"1:4, 6, 8",8,No sabe/no recuerda,
39,QS826,"La niña(o) está usando lentes o anteojos a veces, casi siempre o siempre",N,1,1:3,1,A veces,
39,QS826,"La niña(o) está usando lentes o anteojos a veces, casi siempre o siempre",N,1,1:3,2,Casi siempre,
39,QS826,"La niña(o) está usando lentes o anteojos a veces, casi siempre o siempre",N,1,1:3,3,Siempre,
40,QS827,Por qué motivo la niña(o) no usa lentes o anteojos siempre,N,1,"1:4, 6, 8",1,Descuido,
40,QS827,Por qué motivo la niña(o) no usa lentes o anteojos siempre,N,1,"1:4, 6, 8",2,Le incomodan,
40,QS827,Por qué motivo la niña(o) no usa lentes o anteojos siempre,N,1,"1:4, 6, 8",3,No le gustan,
40,QS827,Por qué motivo la niña(o) no usa lentes o anteojos siempre,N,1,"1:4, 6, 8",4,Le molestan en el colegio,
40,QS827,Por qué motivo la niña(o) no usa lentes o anteojos siempre,N,1,"1:4, 6, 8",6,Otro,
40,QS827,Por qué motivo la niña(o) no usa lentes o anteojos siempre,N,1,"1:4, 6, 8",8,No sabe/no recuerda,
41,QS828,"La niña(o) ve televisión/computadora/laptop/tablet muy cerca, a menos de 30 cm",N,1,"1:3, 8",1,Si,
41,QS828,"La niña(o) ve televisión/computadora/laptop/tablet muy cerca, a menos de 30 cm",N,1,"1:3, 8",2,No,
41,QS828,"La niña(o) ve televisión/computadora/laptop/tablet muy cerca, a menos de 30 cm",N,1,"1:3, 8",3,No ve TV/PC/etc,
41,QS828,"La niña(o) ve televisión/computadora/laptop/tablet muy cerca, a menos de 30 cm",N,1,"1:3, 8",8,No sabe/No recuerda,
42,QS829,"Cuando la niña(o) está en un lugar sin techo, haga o no haga calor, con qué frecuencia usa gorro con visera, sombrero o lentes de sol nunca, a veces, siempre",N,1,1:3,1,Nunca,
42,QS829,"Cuando la niña(o) está en un lugar sin techo, haga o no haga calor, con qué frecuencia usa gorro con visera, sombrero o lentes de sol nunca, a veces, siempre",N,1,1:3,2,A veces,
42,QS829,"Cuando la niña(o) está en un lugar sin techo, haga o no haga calor, con qué frecuencia usa gorro con visera, sombrero o lentes de sol nunca, a veces, siempre",N,1,1:3,3,Siempre,
43,QS831,Considera que la niña(o) tiene buena iluminación en el ambiente donde lee,N,1,1:3,1,Si,
43,QS831,Considera que la niña(o) tiene buena iluminación en el ambiente donde lee,N,1,1:3,2,No,
43,QS831,Considera que la niña(o) tiene buena iluminación en el ambiente donde lee,N,1,1:3,3,No sabe leer,
44,QS832,"La niña(o) acostumbra leer mientras está caminando, en el carro o mototaxi",N,1,"1:2, 8",1,Si,
44,QS832,"La niña(o) acostumbra leer mientras está caminando, en el carro o mototaxi",N,1,"1:2, 8",2,No,
44,QS832,"La niña(o) acostumbra leer mientras está caminando, en el carro o mototaxi",N,1,"1:2, 8",8,No sabe/no recuerda,
45,QS833,"En los últimos 30 días, la niña(o) asistió a la escuela o colegio",N,1,"1:2, 8",1,Si,
45,QS833,"En los últimos 30 días, la niña(o) asistió a la escuela o colegio",N,1,"1:2, 8",2,No,
45,QS833,"En los últimos 30 días, la niña(o) asistió a la escuela o colegio",N,1,"1:2, 8",8,No sabe/no recuerda,
46,QS834,"En los últimos 30 días, cuántas veces la niña(o) fue golpeado por un profesor(a)",N,1,"1:4, 8",1,Nunca,
46,QS834,"En los últimos 30 días, cuántas veces la niña(o) fue golpeado por un profesor(a)",N,1,"1:4, 8",2,Rara vez (1 a 2 veces),
46,QS834,"En los últimos 30 días, cuántas veces la niña(o) fue golpeado por un profesor(a)",N,1,"1:4, 8",3,A veces (3 a 5 veces),
46,QS834,"En los últimos 30 días, cuántas veces la niña(o) fue golpeado por un profesor(a)",N,1,"1:4, 8",4,A menudo (6 veces o mas),
46,QS834,"En los últimos 30 días, cuántas veces la niña(o) fue golpeado por un profesor(a)",N,1,"1:4, 8",8,No sabe/no recuerda,
47,QS835,"En los últimos 30 días, cuántas veces la niña(o) fue golpeado(a) por otro estudiante",N,1,"1:4, 8",1,Nunca,
47,QS835,"En los últimos 30 días, cuántas veces la niña(o) fue golpeado(a) por otro estudiante",N,1,"1:4, 8",2,Rara vez (1 a 2 veces),
47,QS835,"En los últimos 30 días, cuántas veces la niña(o) fue golpeado(a) por otro estudiante",N,1,"1:4, 8",3,A veces (3 a 5 veces),
47,QS835,"En los últimos 30 días, cuántas veces la niña(o) fue golpeado(a) por otro estudiante",N,1,"1:4, 8",4,A menudo (6 veces o mas),
47,QS835,"En los últimos 30 días, cuántas veces la niña(o) fue golpeado(a) por otro estudiante",N,1,"1:4, 8",8,No sabe/no recuerda,
48,QS836,La niña(o) tiene confianza para contarle sus cosas con algún(a) profesor(a) del colegio,N,1,"1:2, 8",1,Si,
48,QS836,La niña(o) tiene confianza para contarle sus cosas con algún(a) profesor(a) del colegio,N,1,"1:2, 8",2,No,
48,QS836,La niña(o) tiene confianza para contarle sus cosas con algún(a) profesor(a) del colegio,N,1,"1:2, 8",8,No sabe/no recuerda,
49,QS837,"Durante este año, alguna vez la niña(o) no quiso ir al colegio por miedo a que alguien le pegue",N,1,"1:2, 8",1,Si,
49,QS837,"Durante este año, alguna vez la niña(o) no quiso ir al colegio por miedo a que alguien le pegue",N,1,"1:2, 8",2,No,
49,QS837,"Durante este año, alguna vez la niña(o) no quiso ir al colegio por miedo a que alguien le pegue",N,1,"1:2, 8",8,No sabe/no recuerda,
50,QS838,Usted sabe a quién pedir apoyo si la niña(o) sufre violencia física en el colegio,AN,16,A:Z,,,
51,QS840A,Podría mostrar el cepillo dental de la niña(o),N,1,1:4,1,Mostro cepillo dental,
51,QS840A,Podría mostrar el cepillo dental de la niña(o),N,1,1:4,2,No mostro cepillo dental,
51,QS840A,Podría mostrar el cepillo dental de la niña(o),N,1,1:4,3,El cepillo esta en el colegio,
51,QS840A,Podría mostrar el cepillo dental de la niña(o),N,1,1:4,4,Esta en casa de un familiar,
52,QS840B,Podría mostrar la crema dental de la niña(o) y verifique la concentración de flúor,N,1,1:7,1,1000 ppm o mas,
52,QS840B,Podría mostrar la crema dental de la niña(o) y verifique la concentración de flúor,N,1,1:7,2,601 a menos de 1000ppm,
52,QS840B,Podría mostrar la crema dental de la niña(o) y verifique la concentración de flúor,N,1,1:7,3,Hasta 600 ppm,
52,QS840B,Podría mostrar la crema dental de la niña(o) y verifique la concentración de flúor,N,1,1:7,4,No tiene informacion de ppm,
52,QS840B,Podría mostrar la crema dental de la niña(o) y verifique la concentración de flúor,N,1,1:7,5,No mostro crema dental,
52,QS840B,Podría mostrar la crema dental de la niña(o) y verifique la concentración de flúor,N,1,1:7,6,No usa crema dental,
52,QS840B,Podría mostrar la crema dental de la niña(o) y verifique la concentración de flúor,N,1,1:7,7,"Número borroso, registre la marca",
52,QS840B,Podría mostrar la crema dental de la niña(o) y verifique la concentración de flúor,N,1,1:7,8,"Valor diferente a ppm, registre el valor",
52,QS840B,Podría mostrar la crema dental de la niña(o) y verifique la concentración de flúor,N,1,1:7,9,Otro,
53,Pesomen12,Factor ponderado,N,8,500:5000,,,
