Nº,VARIABLE,DESCRIPCIÓN DE LAS VARIABLES,TIPO DE CARÁCTER,LONGITUD,RANGO DE VARIACIÓN,VALORES,DESCRIPCIÓN DE LAS ALTERNATIVAS,OBS
24,HA54,Actualmente embarazada,N,1,0:1,0,No/No sé,
24,HA54,Actualmente embarazada,N,1,0:1,1,Si,
25,HA55,Resultado de la medición (hemoglobina),N,1,"0, 3:6",0,Medida,
25,HA55,Resultado de la medición (hemoglobina),N,1,"0, 3:6",3,No presente,
25,HA55,Resultado de la medición (hemoglobina),N,1,"0, 3:6",4,Rechazó,
25,HA55,Resultado de la medición (hemoglobina),N,1,"0, 3:6",5,Parcialmente medida,
25,HA55,Resultado de la medición (hemoglobina),N,1,"0, 3:6",6,Otro,
26,HA56,Nivel de hemoglobina ajustado por la altitud (g/dl - 1 decimal),N,3,40:210,,,
27,HA57,Nivel de anemia,N,1,1:4,1,Grave,
27,HA57,Nivel de anemia,N,1,1:4,2,Moderado,
27,HA57,Nivel de anemia,N,1,1:4,3,Leve,
27,HA57,Nivel de anemia,N,1,1:4,4,Sin anemia,
28,HA58,Está de acuerdo con enviar los datos a un especialista,N,1,0:1,0,No,
28,HA58,Está de acuerdo con enviar los datos a un especialista,N,1,0:1,1,Si,
29,HA60,Estado civil,N,1,1:2,1,Nunca en unión,
29,HA60,Estado civil,N,1,1:2,2,Otro,
30,HA61,Lea la declaración de consentimiento (VIH),N,1,1:4,1,Aceptó,
30,HA61,Lea la declaración de consentimiento (VIH),N,1,1:4,2,Padre/Otro responsable rechazó,
30,HA61,Lea la declaración de consentimiento (VIH),N,1,1:4,3,Entrevistada rechazó,
30,HA61,Lea la declaración de consentimiento (VIH),N,1,1:4,4,Muestra no probada/perdida/no suficiente DBS,
31,HA62,Número de identificación de la muestra de sangre,AN,5,,,,
32,HA63,Resultado de la medición (VIH),N,1,1:6,1,Muestra de sangre tomada,
32,HA63,Resultado de la medición (VIH),N,1,1:6,2,No presente,
32,HA63,Resultado de la medición (VIH),N,1,1:6,3,Rechazo,
32,HA63,Resultado de la medición (VIH),N,1,1:6,4,Muestra no probada/perdida,
32,HA63,Resultado de la medición (VIH),N,1,1:6,5,No hay suficiente DBS para completar el protocolo,
32,HA63,Resultado de la medición (VIH),N,1,1:6,6,Otro,
33,HA64,Consentimiento para pruebas adicionales,N,1,1:3,1,Aceptada,
33,HA64,Consentimiento para pruebas adicionales,N,1,1:3,2,Padres/Otro responsable rechazó,
33,HA64,Consentimiento para pruebas adicionales,N,1,1:3,3,Entrevistada rechazó,
34,HA65,Resultado de la entrevista individual a la mujer,N,1,1:7,1,Completa,
34,HA65,Resultado de la entrevista individual a la mujer,N,1,1:7,2,Ausente,
34,HA65,Resultado de la entrevista individual a la mujer,N,1,1:7,3,Aplazada,
34,HA65,Resultado de la entrevista individual a la mujer,N,1,1:7,4,Rechada,
34,HA65,Resultado de la entrevista individual a la mujer,N,1,1:7,5,Incompleta,
34,HA65,Resultado de la entrevista individual a la mujer,N,1,1:7,6,Incapacitada,
34,HA65,Resultado de la entrevista individual a la mujer,N,1,1:7,7,Otro,
35,HA66,El nivel educativo más alto aprobado de la mujer,N,1,"0:3, 8",0,Sin educación,
35,HA66,El nivel educativo más alto aprobado de la mujer,N,1,"0:3, 8",1,Primaria,
35,HA66,El nivel educativo más alto aprobado de la mujer,N,1,"0:3, 8",2,Secundaria,
35,HA66,El nivel educativo más alto aprobado de la mujer,N,1,"0:3, 8",3,Superior,
35,HA66,El nivel educativo más alto aprobado de la mujer,N,1,"0:3, 8",8,No sabe,
36,HA67,El año más alto de educación de la mujer,N,2,"0:6, 98",98,No sabe,
37,HA68,Nivel educativo más alto (CS para el informe preliminar y final),N,1,"0:3, 8",0,Sin educación,
37,HA68,Nivel educativo más alto (CS para el informe preliminar y final),N,1,"0:3, 8",1,Primaria,
37,HA68,Nivel educativo más alto (CS para el informe preliminar y final),N,1,"0:3, 8",2,Secundaria,
37,HA68,Nivel educativo más alto (CS para el informe preliminar y final),N,1,"0:3, 8",3,Superior,
37,HA68,Nivel educativo más alto (CS para el informe preliminar y final),N,1,"0:3, 8",8,No sabe,
38,HA69,Peso del VIH (6 decimales),N,8,,,,
